# t_obs[JD] firstOrderFlux[norm] firstOrderFluxUnc[norm] centralOrderFlux[norm] centralOrderFluxUnc[norm]
2450073.0000000000 1.3816308798 0.0026389237 0.6752402565 0.0020330246
2450074.0000000000 1.3866590429 0.0025992791 0.6867120226 0.0042560016
2450075.0000000000 1.3912831029 0.0020492614 0.6972480850 0.0058753760
2450076.0000000000 1.3916404982 0.0019749797 0.7060007371 0.0090767787
2450077.0000000000 1.3899095031 0.0055220439 0.7182115460 0.0113653456
2450078.0000000000 1.4153268210 0.0046590785 0.7567359844 0.0101389438
2450079.0000000000 1.4113829428 0.0023364221 0.7627786245 0.0173059823
2450080.0000000000 1.4271173205 0.0075841176 0.8106892801 0.0231083958
2450081.0000000000 1.4469355159 0.0027467900 0.8389954701 0.0128281456
2450082.0000000000 1.4525401476 0.0019979627 0.8291433734 0.0094364844
2450083.0000000000 1.4559301234 0.0023161795 0.8320945512 0.0068891701
2450084.0000000000 1.4538876425 0.0015690827 0.8193991124 0.0046311660
2450085.0000000000 1.4422016331 0.0030720769 0.8073452804 0.0029804787
2450086.0000000000 1.4561510967 0.0060007817 0.9034777759 0.0632870159
2450087.0000000000 1.4680604950 0.0042638749 0.9763516462 0.0334806091
2450088.0000000000 1.4770650966 0.0036624879 0.9778791194 0.0331008946
2450089.0000000000 1.4658827716 0.0028522195 0.9425535767 0.0145505010
2450090.0000000000 1.4577970885 0.0059129462 0.9340889074 0.0247757857
2450091.0000000000 1.4370839747 0.0028817570 0.8885388523 0.0182995615
2450092.0000000000 1.4169557839 0.0062150310 0.8475438024 0.0201738642
2450093.0000000000 1.3861957801 0.0067806156 0.7808756249 0.0157743345
2450094.0000000000 1.3496990381 0.0064141443 0.7299382113 0.0254464429
2450095.0000000000 1.3191380135 0.0085476745 0.6762498103 0.0177884281
2450096.0000000000 1.2960192317 0.0034094768 0.6318670335 0.0108648708
2450097.0000000000 1.2833504117 0.0022761393 0.6111717805 0.0022445450
2450098.0000000000 1.2901418549 0.0038919933 0.6187964865 0.0047488139
2450099.0000000000 1.2880618906 0.0025557497 0.6183656350 0.0026962315
2450100.0000000000 1.2940020152 0.0022289302 0.6303481526 0.0018330551
2450101.0000000000 1.2938132281 0.0015904130 0.6316342034 0.0021395642
2450102.0000000000 1.2954699627 0.0029490605 0.6301744171 0.0026858158
2450103.0000000000 1.3022864867 0.0019847125 0.6424032710 0.0032080047
2450104.0000000000 1.3055975192 0.0022120990 0.6538343649 0.0057047423
2450105.0000000000 1.3135719740 0.0024056467 0.6776256379 0.0072050614
2450106.0000000000 1.3276305611 0.0044555649 0.6972521389 0.0065941797
2450107.0000000000 1.3372208840 0.0021338762 0.7089843418 0.0020754421
2450108.0000000000 1.3388144966 0.0023441702 0.7103465242 0.0029256839
2450109.0000000000 1.3389843125 0.0026256241 0.7122396574 0.0037272771
2450110.0000000000 1.3432870692 0.0013848653 0.7087202664 0.0026797846
2450111.0000000000 1.3403161134 0.0024369570 0.7035465715 0.0023764481
2450112.0000000000 1.3391416834 0.0027058387 0.7058941565 0.0043012790
2450113.0000000000 1.3436966672 0.0028817147 0.7159925525 0.0040059694
2450114.0000000000 1.3400943703 0.0042087198 0.7445318758 0.0199485539
2450115.0000000000 1.3431242669 0.0035841662 0.7620539247 0.0233944517
2450116.0000000000 1.3401229755 0.0016746041 0.7584236576 0.0128849321
2450117.0000000000 1.3356305628 0.0031244844 0.7502955660 0.0156284796
2450118.0000000000 1.3111838789 0.0073725452 0.6914335640 0.0199719148
2450119.0000000000 1.2944168469 0.0024816164 0.6603581720 0.0070846047
2450120.0000000000 1.2829019530 0.0023132766 0.6400857141 0.0040715124
2450121.0000000000 1.2668765722 0.0037149378 0.6175052749 0.0062500646
2450122.0000000000 1.2541866197 0.0024244343 0.6015870646 0.0035802935
2450123.0000000000 1.2490806364 0.0022311409 0.5925028545 0.0023089341
2450124.0000000000 1.2486380753 0.0018927945 0.5871916219 0.0015204462
2450125.0000000000 1.2456530006 0.0029381834 0.5862249430 0.0029675280
2450126.0000000000 1.2345647054 0.0014474789 0.5767446193 0.0012197919
2450127.0000000000 1.2317897128 0.0028955158 0.5737036584 0.0023863544
2450128.0000000000 1.2275929224 0.0026653676 0.5714227572 0.0026428262
2450129.0000000000 1.2314549473 0.0016270488 0.5804017081 0.0020036489
2450130.0000000000 1.2394837308 0.0042246187 0.5960521173 0.0064434791
2450131.0000000000 1.2504787025 0.0020610072 0.6146199446 0.0046168612
2450132.0000000000 1.2549576742 0.0028084430 0.6150148383 0.0044919766
2450133.0000000000 1.2516302625 0.0032514349 0.6222200926 0.0120013729
2450134.0000000000 1.2696141026 0.0025929012 0.6488565300 0.0039434167
2450135.0000000000 1.2741596432 0.0021402541 0.6504404619 0.0059886431
2450136.0000000000 1.2731816778 0.0025965739 0.6537330659 0.0069257072
2450137.0000000000 1.2768551275 0.0054543874 0.6549278397 0.0103641356
2450138.0000000000 1.2927102686 0.0014628621 0.7018483258 0.0154390242
2450139.0000000000 1.2880713480 0.0028747717 0.6994300789 0.0179151650
2450140.0000000000 1.2786694662 0.0019809480 0.6671635471 0.0062715571
2450141.0000000000 1.2788012195 0.0016576599 0.6608083767 0.0036145275
2450142.0000000000 1.2766949244 0.0026337819 0.6572526171 0.0056688110
2450143.0000000000 1.2732863022 0.0020137909 0.6558159016 0.0016940439
2450144.0000000000 1.2681660940 0.0026117241 0.6411240346 0.0076263831
2450145.0000000000 1.2503384241 0.0038669973 0.6144536036 0.0072143303
2450146.0000000000 1.2350680719 0.0020026808 0.5913639807 0.0034731739
2450147.0000000000 1.2269339507 0.0045971924 0.5801563536 0.0066206268
2450148.0000000000 1.2199090963 0.0022819875 0.5721404611 0.0037303576
2450149.0000000000 1.2178113473 0.0024907277 0.5713711773 0.0019683661
2450150.0000000000 1.2132028259 0.0039743904 0.5696835364 0.0025577951
2450151.0000000000 1.2146249839 0.0021896457 0.5695514106 0.0046745411
2450152.0000000000 1.2135544154 0.0046325569 0.5699506143 0.0096390447
2450153.0000000000 1.2070534738 0.0023221690 0.5610175658 0.0048065689
2450154.0000000000 1.2250812387 0.0048025494 0.6446903755 0.0668492542
2450155.0000000000 1.2424643699 0.0041542993 0.6441127877 0.0198954580
2450156.0000000000 1.2430429363 0.0027528359 0.6289357239 0.0072714971
2450157.0000000000 1.2386136387 0.0022460439 0.6252253114 0.0050346766
2450158.0000000000 1.2357337887 0.0016841179 0.6251880188 0.0044725231
2450159.0000000000 1.2403306350 0.0024990762 0.6323400438 0.0030791995
2450160.0000000000 1.2409082690 0.0023824800 0.6326720201 0.0041883825
2450161.0000000000 1.2377038031 0.0025331552 0.6255495626 0.0055294158
2450162.0000000000 1.2331708841 0.0024723921 0.6147213819 0.0044632468
2450163.0000000000 1.2245022486 0.0032695445 0.6036222698 0.0063309164
2450164.0000000000 1.2268806391 0.0020496216 0.6127438111 0.0067340568
2450165.0000000000 1.2368137651 0.0025914109 0.6981050104 0.0501823342
2450166.0000000000 1.2238439832 0.0045494323 0.6198766620 0.0356081537
2450167.0000000000 1.2227405152 0.0023252979 0.6074255781 0.0060396407
2450168.0000000000 1.2219293710 0.0025846516 0.6089737497 0.0091724394
2450169.0000000000 1.2273841328 0.0019455552 0.6228135443 0.0093126205
2450170.0000000000 1.2337772717 0.0025881266 0.6233450054 0.0110617785
2450171.0000000000 1.2373935746 0.0024723215 0.6215277078 0.0029536188
2450172.0000000000 1.2272619498 0.0023027810 0.6129381197 0.0071915860
2450173.0000000000 1.2147581781 0.0027431384 0.5974082276 0.0022912734
2450174.0000000000 1.2160882133 0.0022794872 0.5887824959 0.0061485980
2450175.0000000000 1.2130655846 0.0027711574 0.5833067691 0.0075031790
2450176.0000000000 1.2253935650 0.0020260311 0.6104620720 0.0064710260
2450177.0000000000 1.2378449362 0.0023114685 0.6496031852 0.0129061338
2450178.0000000000 1.2312587581 0.0139799193 0.6424804444 0.0067326523
2450179.0000000000 1.2313417697 0.0093560146 0.6394288182 0.0097871726
2450180.0000000000 1.2121628190 0.0030945231 0.5968053417 0.0121069700
2450181.0000000000 1.2111339293 0.0025471682 0.5873783386 0.0026856836
2450182.0000000000 1.2073364603 0.0019816401 0.5807395098 0.0021889065
2450183.0000000000 1.2095280201 0.0016877837 0.5886456407 0.0031304873
2450184.0000000000 1.2083319772 0.0017363842 0.5879962454 0.0014752697
2450185.0000000000 1.2089751278 0.0019711092 0.5882568198 0.0017845175
2450186.0000000000 1.2131399086 0.0022658627 0.5968009802 0.0035935036
2450187.0000000000 1.2103142389 0.0020422407 0.5933748151 0.0033292530
2450188.0000000000 1.2077470118 0.0019465935 0.5915621956 0.0046033761
2450189.0000000000 1.1961291039 0.0024920343 0.5767261434 0.0043110169
2450190.0000000000 1.1963080382 0.0024003635 0.5744429410 0.0032623006
2450191.0000000000 1.2034524482 0.0019718296 0.5809736069 0.0043602288
2450192.0000000000 1.2089647663 0.0025262476 0.5992939929 0.0109571343
2450193.0000000000 1.2173815774 0.0020840608 0.6163597193 0.0049599298
2450194.0000000000 1.2167607883 0.0023145621 0.6266454935 0.0193780254
2450195.0000000000 1.2282871102 0.0025531859 0.6845509048 0.0331406786
2450196.0000000000 1.2220574093 0.0045512334 0.7526273578 0.1988581297
2450197.0000000000 1.2012766883 0.0035815882 0.7251267902 0.0289869710
2450198.0000000000 1.1883530490 0.0023420443 0.6251111966 0.0387869688
2450199.0000000000 1.1824370446 0.0025912131 0.5686815292 0.0111876243
2450200.0000000000 1.1826387570 0.0026811252 0.5627550012 0.0085858988
2450201.0000000000 1.1809720777 0.0038570526 0.5561388594 0.0040658905
2450202.0000000000 1.1780225934 0.0026789781 0.5520043236 0.0024660012
2450203.0000000000 1.1854524337 0.0014407973 0.5634204994 0.0022998229
2450204.0000000000 1.1873107891 0.0019396505 0.5668776839 0.0023309451
2450205.0000000000 1.1896449722 0.0019695765 0.5666260458 0.0018980315
2450206.0000000000 1.1948550642 0.0024615928 0.5757013744 0.0039698891
2450207.0000000000 1.2005188274 0.0021516256 0.5931544141 0.0053949942
2450208.0000000000 1.2163776907 0.0052825373 0.6350121933 0.0151215516
2450209.0000000000 1.2372812233 0.0065701167 0.7364438159 0.1043578508
2450210.0000000000 1.2712003414 0.0070983521 0.8462464784 0.0817428517
2450211.0000000000 1.2984811635 0.0070113641 0.8721084633 0.0764268382
2450212.0000000000 1.2991919000 0.0028889966 0.8649876915 0.0698571426
2450213.0000000000 1.3035475798 0.0028429176 0.8265410672 0.0267981246
2450214.0000000000 1.3004041736 0.0034609308 0.8236398090 0.0482716942
2450215.0000000000 1.2897246006 0.0033248549 0.8164626413 0.0584434827
2450216.0000000000 1.2869043977 0.0042900433 0.7740131390 0.0234947772
2450217.0000000000 1.2774684792 0.0056501033 0.7586021249 0.0162555566
2450218.0000000000 1.2661715568 0.0042841951 0.7316543279 0.0089081842
2450219.0000000000 1.2568709374 0.0031271401 0.7100989741 0.0044187953
2450220.0000000000 1.2466324987 0.0021736833 0.7000103668 0.0046499125
2450221.0000000000 1.2482649719 0.0019155939 0.7003552436 0.0038696595
