# t_obs[JD] heliocentric_dist[km] firstOrderFlux[counts/s] firstOrderFluxUnc[counts/s] centralOrderFlux[counts/s] centralOrderFluxUnc[counts/s]
2450073.000000 146015000.000000 200.415000 0.382794 3404.890000 10.251500
2450074.000000 145971000.000000 201.205000 0.377157 3463.780000 21.467300
2450075.000000 145950000.000000 201.905000 0.297392 3517.430000 29.639700
2450076.000000 145908000.000000 202.015000 0.286695 3562.610000 45.803100
2450077.000000 145889000.000000 201.790000 0.801702 3624.700000 57.359100
2450078.000000 145882000.000000 205.490000 0.676448 3819.310000 51.172100
2450079.000000 145841000.000000 204.975000 0.339319 3850.890000 87.369300
2450080.000000 145827000.000000 207.280000 1.101546 4093.160000 116.674000
2450081.000000 145819000.000000 210.170000 0.398976 4236.310000 64.772700
2450082.000000 145808000.000000 211.000000 0.290230 4186.880000 47.650900
2450083.000000 145789000.000000 211.520000 0.336499 4202.330000 34.792400
2450084.000000 145774000.000000 211.245000 0.227982 4138.640000 23.391200
2450085.000000 145765000.000000 209.560000 0.446390 4078.010000 15.054800
2450086.000000 145756000.000000 211.600000 0.872001 4563.870000 319.691000
2450087.000000 145753000.000000 213.335000 0.619616 4932.090000 169.129000
2450088.000000 145752000.000000 214.645000 0.532227 4939.840000 167.212000
2450089.000000 145752000.000000 213.020000 0.414480 4761.390000 73.503100
2450090.000000 145752000.000000 211.845000 0.859261 4718.630000 125.157000
2450091.000000 145752000.000000 208.835000 0.418773 4488.530000 92.441800
2450092.000000 145752000.000000 205.910000 0.903159 4281.440000 101.910000
2450093.000000 145752000.000000 201.440000 0.985350 3944.660000 79.685400
2450094.000000 145753000.000000 196.135000 0.932088 3687.320000 128.544000
2450095.000000 145756000.000000 191.690000 1.242102 3416.040000 89.857300
2450096.000000 145768000.000000 188.315000 0.495406 3191.580000 54.878800
2450097.000000 145783000.000000 186.455000 0.330695 3086.730000 11.336100
2450098.000000 145796000.000000 187.425000 0.565408 3124.960000 23.981800
2450099.000000 145806000.000000 187.110000 0.371260 3122.570000 13.615200
2450100.000000 145816000.000000 187.960000 0.323763 3182.860000 9.255770
2450101.000000 145818000.000000 187.930000 0.231012 3189.310000 10.803300
2450102.000000 145834000.000000 188.150000 0.428312 3181.590000 13.560000
2450103.000000 145861000.000000 189.105000 0.288200 3242.730000 16.193400
2450104.000000 145877000.000000 189.565000 0.321184 3300.070000 28.793300
2450105.000000 145883000.000000 190.715000 0.349271 3420.010000 36.364300
2450106.000000 145899000.000000 192.735000 0.646824 3518.680000 33.277500
2450107.000000 145927000.000000 194.090000 0.309720 3577.200000 10.471700
2450108.000000 145943000.000000 194.300000 0.340205 3583.680000 14.760000
2450109.000000 145954000.000000 194.310000 0.381024 3592.960000 18.802600
2450110.000000 145991000.000000 194.885000 0.200917 3574.300000 13.515000
2450111.000000 146009000.000000 194.430000 0.353512 3547.770000 11.983700
2450112.000000 146020000.000000 194.245000 0.392487 3559.340000 21.688400
2450113.000000 146058000.000000 194.855000 0.417889 3609.320000 20.194100
2450114.000000 146075000.000000 194.310000 0.610252 3752.750000 100.549000
2450115.000000 146097000.000000 194.720000 0.519616 3840.490000 117.900000
2450116.000000 146127000.000000 194.245000 0.242727 3821.410000 64.922300
2450117.000000 146145000.000000 193.570000 0.452825 3779.990000 78.736300
2450118.000000 146185000.000000 189.975000 1.068194 3482.490000 100.591000
2450119.000000 146205000.000000 187.520000 0.359507 3325.520000 35.677600
2450120.000000 146234000.000000 185.815000 0.335054 3222.790000 20.499800
2450121.000000 146265000.000000 183.455000 0.537956 3108.440000 31.462000
2450122.000000 146279000.000000 181.600000 0.351046 3028.020000 18.021000
2450123.000000 146320000.000000 180.810000 0.322968 2981.460000 11.618500
2450124.000000 146341000.000000 180.720000 0.273951 2954.310000 7.649750
2450125.000000 146384000.000000 180.235000 0.425129 2948.580000 14.926000
2450126.000000 146405000.000000 178.605000 0.209407 2900.480000 6.134400
2450127.000000 146449000.000000 178.150000 0.418769 2884.320000 11.997500
