# t_obs[JD] flux_mean[DN/s] flux_stdev[DN/s]
2450083.507481 847.675241 4.413794
2450083.515093 847.584615 4.747214
2450083.566667 847.246263 10.767788
2450083.574404 847.218789 24.872087
2450085.278367 852.026489 7.901906
2450283.237024 857.089527 4.486764
2450283.286865 851.270342 4.462267
2450333.215102 852.909068 37.993104
2450333.220594 853.300751 42.124866
2450343.269398 855.127812 22.490703
2450343.276300 854.999773 17.026643
2450357.315521 852.368554 11.355637
2450357.319971 852.602391 37.112638
2450373.242241 852.547579 28.303475
2450373.246900 853.294348 4.458799
2450379.197080 851.747127 5.695773
2450379.201636 851.844074 6.161206
2450387.068137 851.887561 14.534394
2450387.072659 851.847305 5.447704
2450393.209769 851.882718 16.312358
2450393.213491 851.875874 5.911391
2450403.367292 851.721409 3.930260
2450403.371706 851.762427 4.514983
2450410.057114 852.041757 12.792893
2450410.062777 852.061659 4.515449
2450410.370515 851.811276 6.660921
2450410.375995 851.849577 27.414248
2450420.303540 852.052867 4.830534
2450420.308210 852.198704 28.370342
2450427.303000 852.337396 6.017107
2450427.307577 852.465029 4.208783
2450436.152869 851.866984 5.328055
2450436.159814 851.954077 8.199471
2450437.011842 852.127059 10.718521
2450437.444537 853.594393 9.243874
2450437.451481 853.915453 38.918888
