# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.179292 72068744.847028 225538.738866 0 0
2450190.243848 72229322.058768 225993.741122 0 0
2450190.445543 72200793.340917 225914.501448 0 0
2450190.525995 75144150.430857 246051.413044 0 0
2450191.431952 75375734.430051 246671.446741 0 0
2450192.189057 80901835.526784 261657.105490 0 0
2450194.343133 77704123.847300 252785.452812 0 0
2450194.362289 77893547.447752 253301.043506 0 0
2450195.187420 80378978.319933 260017.042748 0 0
2450196.416830 76670248.203267 249862.593333 0 0
2450197.165156 75788649.815441 247418.070914 0 0
2450197.208503 75179140.539295 245770.010929 0 0
2450198.040838 75435291.769036 246402.229595 0 0
2450198.244789 75224414.031091 245833.822700 0 0
2450198.415940 76325381.514139 248810.373799 0 0
2450198.541171 74807036.671162 244646.688011 0 0
2450199.240783 74438112.978546 243488.370371 0 0
2450199.640089 73513458.967681 240905.972732 0 0
2450199.968804 75149395.615544 245318.078785 0 0
2450200.581005 74103730.462163 242430.786894 0 0
2450200.829405 74177150.289030 242629.946194 0 0
2450201.072195 76573169.156697 249103.958065 0 0
2450201.352530 75715925.792883 246789.418926 0 0
2450201.455334 75273817.188735 245594.942733 0 0
2450201.697582 73666172.809474 241202.264245 0 0
2450201.939605 73931911.629281 241917.675654 0 0
2450202.181756 73398612.492171 240482.567224 0 0
2450202.451129 82849094.228789 266155.346222 0 0
2450202.693899 75455375.469237 245968.255878 0 0
2450202.936979 74620027.028305 243713.449029 0 0
2450203.581996 78133683.024381 253163.163896 0 0
2450203.951666 73644317.599355 241030.529425 0 0
2450204.321283 83797289.166412 268590.312246 0 0
2450204.542921 79214619.746712 256060.602859 0 0
2450204.912627 74943035.775013 244491.090606 0 0
2450205.272875 77485636.173217 251369.702177 0 0
2450205.611027 76083097.476597 247513.583196 0 0
2450206.524807 90373232.306155 286609.829266 0 0
2450206.886501 79190665.878436 255884.153363 0 0
2450207.250137 74724509.486213 243790.062149 0 0
2450207.568801 88987447.893909 282707.153381 0 0
2450207.930771 75508168.963049 245847.996646 0 0
2450208.560355 76320591.458940 248002.925800 0 0
2450208.869912 78918127.510878 255039.031409 0 0
2450209.179342 76094276.800709 247374.091137 0 0
2450209.503152 77647830.851290 251522.784284 0 0
2450209.812197 79267726.942976 255920.959481 0 0
2450210.121353 77879200.324403 252149.698099 0 0
2450210.608362 79833070.215128 257403.042218 0 0
2450210.850846 79704203.209940 257052.567625 0 0
2450211.093120 83404704.429326 267155.667162 0 0
2450211.336665 82236735.826064 263960.999375 0 0
2450211.562826 81261628.114593 261243.091455 0 0
2450211.810185 80086002.293271 258038.937983 0 0
2450212.053961 80538807.659924 259272.446656 0 0
2450212.660461 79202473.316488 255588.700861 0 0
2450212.903242 91980872.122091 290691.914201 0 0
2450213.146035 80641971.226709 259504.110483 0 0
2450213.502313 85750931.550420 273432.477649 0 0
2450213.744786 81297459.278922 261239.556853 0 0
2450213.987165 81003612.100434 260449.728538 0 0
2450214.495930 81767391.284366 262533.624720 0 0
2450214.737935 106333770.323291 330710.249395 0 0
2450214.980041 80424812.840639 258823.091702 0 0
2450215.222101 90385427.586575 286168.811997 0 0
2450215.546777 80661945.968986 259418.814753 0 0
2450215.791074 78698399.501060 254083.663059 0 0
2450216.035248 82877470.768795 265463.325998 0 0
2450216.279600 79459781.631612 256150.199807 0 0
2450216.415550 79254821.093142 255595.238886 0 0
2450216.658525 81420043.804846 261437.057587 0 0
2450216.901509 79329673.342038 255751.912031 0 0
2450217.144512 79625694.757835 256554.552183 0 0
2450217.506059 78439910.195240 253292.664469 0 0
2450217.748310 98338447.092045 308109.833694 0 0
2450217.991856 79405968.917068 255898.857593 0 0
2450218.235935 76690840.957092 248548.239192 0 0
2450218.385137 78024501.434978 252158.892300 0 0
2450218.578533 78882123.585227 254436.014615 0 0
