# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.179292 2450014.035397 44583.603353 0 0
2450190.243848 2450014.100071 44680.568604 0 0
2450190.445543 2450014.302132 44662.787947 0 0
2450190.525995 2449963.847235 9383976.231300 0 0
2450191.431952 2449964.754849 9410043.616114 0 0
2450192.189057 2449914.030974 10118225.899855 0 0
2450194.343133 2449810.437471 9831330.792160 0 0
2450194.362289 2449810.456663 9856482.855821 0 0
2450195.187420 2449757.041504 10245027.142557 0 0
2450196.416830 2449703.140448 9900063.188378 0 0
2450197.165156 2449647.881041 9878173.389325 0 0
2450197.208503 2449647.924470 9804214.453071 0 0
2450198.040838 2449591.889463 9951910.573516 0 0
2450198.244789 2449592.093802 9952271.462006 0 0
2450198.415940 2449592.265279 10123288.801041 0 0
2450198.541171 2449534.678441 9945574.839193 0 0
2450199.240783 2449535.379388 10002546.606688 0 0
2450199.640089 2449477.240780 9946104.966323 0 0
2450199.968804 2449477.570124 10222364.495901 0 0
2450200.581005 2449418.836267 10193797.208769 0 0
2450200.829405 2449419.085144 10247964.810612 0 0
2450201.072195 2449419.328400 10624477.597808 0 0
2450201.352530 2449419.609272 10559711.034827 0 0
2450201.455334 2449419.712274 10517671.493996 0 0
2450201.697582 2449359.817204 10345290.523874 0 0
2450201.939605 2449360.059692 10429824.676493 0 0
2450202.181756 2449360.302308 10402340.786424 0 0
2450202.451129 2449360.572199 11803040.997010 0 0
2450202.693899 2449299.905428 10806158.427851 0 0
2450202.936979 2449300.148976 10737594.993435 0 0
2450203.581996 2449239.132521 11395887.912032 0 0
2450203.951666 2449239.502903 10821988.288459 0 0
2450204.321283 2449239.873232 12408555.791050 0 0
2450204.542921 2449239.666219 11783325.323040 0 0
2450204.912627 2449240.036637 11234783.838040 0 0
2450205.272875 2449240.397579 11704788.592237 0 0
2450205.611027 2449178.335034 11582761.198838 0 0
2450206.524807 2449116.134046 14041513.500893 0 0
2450206.886501 2449116.496437 12401488.962493 0 0
2450207.250137 2449116.860774 11795362.131711 0 0
2450207.568801 2449053.363118 14155467.603451 0 0
2450207.930771 2449053.725784 12106985.001847 0 0
2450208.560355 2448989.865281 12411679.395747 0 0
2450208.869912 2448990.175433 12925965.784655 0 0
2450209.179342 2448990.485459 12549784.930926 0 0
2450209.503152 2448925.659616 12907116.246864 0 0
2450209.812197 2448925.969254 13268586.253035 0 0
2450210.121353 2448926.279003 13127393.686906 0 0
2450210.608362 2448860.974844 13612805.841926 0 0
2450210.850846 2448861.217792 13665354.730147 0 0
2450211.093120 2448861.460530 14378683.400438 0 0
2450211.336665 2448861.704542 14255578.895907 0 0
2450211.562826 2448795.516618 14165901.090821 0 0
2450211.810185 2448795.764449 14039020.264075 0 0
2450212.053961 2448796.008691 14196475.204162 0 0
2450212.660461 2448729.598374 14158240.907237 0 0
2450212.903242 2448729.841618 16534347.504425 0 0
2450213.146035 2448730.084873 14574760.053525 0 0
2450213.502313 2448662.840130 15630978.700505 0 0
2450213.744786 2448663.083063 14899471.105745 0 0
2450213.987165 2448663.325901 14927031.015110 0 0
2450214.495930 2448663.835632 15240400.909499 0 0
2450214.737935 2448595.912340 19939942.852499 0 0
2450214.980041 2448596.154903 15160681.379551 0 0
2450215.222101 2448596.397421 17130412.940309 0 0
2450215.546777 2448528.012811 15406171.068472 0 0
2450215.791074 2448528.257568 15111888.095028 0 0
2450216.035248 2448528.502201 16001542.231145 0 0
2450216.279600 2448528.747012 15424478.642940 0 0
2450216.415550 2448528.883217 15429732.721678 0 0
2450216.658525 2448459.891174 15945164.830417 0 0
2450216.901509 2448460.134612 15616730.529139 0 0
2450217.144512 2448460.378070 15760522.142060 0 0
2450217.506059 2448390.999472 15656858.779494 0 0
2450217.748310 2448391.242174 19734769.457990 0 0
2450217.991856 2448391.486172 16018087.310258 0 0
2450218.235935 2448391.730705 15551652.301837 0 0
2450218.385137 2448391.880184 15870985.413764 0 0
2450218.578533 2448321.845202 16121921.976774 0 0
2450218.894045 2448322.161296 16107305.592216 0 0
2450219.458363 2448322.726657 21115216.925286 0 0
2450219.773916 2448252.344427 16065520.796759 0 0
2450220.402370 2448252.974033 16351673.076875 0 0
2450220.717941 2448182.140249 16430647.953958 0 0
2450221.360236 2448182.783713 16790362.499106 0 0
2450221.543790 2448111.383923 17477025.887330 0 0
2450221.758454 2448111.598975 16919842.353669 0 0
2450221.972880 2448111.813788 17065472.517478 0 0
2450222.234394 2448112.075774 16917952.594554 0 0
2450222.550332 2448040.393312 17181566.713484 0 0
2450223.323083 2448041.167446 17105885.581992 0 0
2450223.638694 2447969.088969 17403681.974969 0 0
2450224.152615 2447969.603802 21469478.373204 0 0
2450225.583710 2447825.139876 16933436.878617 0 0
2450226.629582 2447752.726003 17189106.137706 0 0
2450226.881165 2447752.978019 17280035.893664 1 0
2450229.473979 2447607.735243 11186706.347322 0 1
2450229.795363 2447533.720972 11271205.250018 0 0
2450230.402067 2447534.328680 11443301.533818 0 0
2450230.826830 2447460.171826 11464074.661136 0 0
2450231.396072 2447460.741997 11291833.307198 0 0
2450231.711606 2447386.250441 11332473.621435 0 0
2450232.407533 2447386.947487 10898005.838642 0 0
2450232.723739 2447312.254714 10978262.989705 0 0
2450233.410693 2447312.942755 11185795.243447 0 0
2450233.726205 2447238.069517 11365423.902187 0 0
2450234.404775 2447238.749144 11434453.335365 0 0
2450234.720854 2447163.718292 11550282.603310 0 0
2450235.413990 2447164.412489 11925295.586988 0 0
2450235.729790 2447089.248552 11811705.294640 0 0
2450236.499918 2447090.019838 12784289.643148 0 0
2450236.827560 2447014.743474 12049588.760396 0 0
2450237.381027 2447015.297758 12212692.501162 0 0
2450237.696630 2446939.918174 12282947.548651 0 0
2450238.333169 2446940.555634 12533623.539241 0 0
2450238.648876 2446865.101477 12767276.374034 0 0
2450239.437027 2446865.890746 13386741.513637 0 0
2450239.752554 2446790.382872 14640098.546600 0 0
2450240.308504 2446790.939593 13489461.032707 0 0
2450240.624585 2446715.401028 13605757.018217 0 0
2450241.341083 2446716.118498 13707063.982973 0 0
2450241.656964 2446702.267981 14161265.860708 0 0
2450242.524637 2446778.991300 14652454.395859 0 0
2450242.840222 2446779.305557 14702568.795811 0 0
2450243.742174 2446856.037740 14614131.033318 0 0
2450244.460603 2446856.753171 16204646.590261 0 0
2450244.776059 2446932.855273 14985823.330447 0 0
2450245.288125 2446933.365220 14740235.414203 0 0
2450245.474903 2446933.551225 14947649.159508 0 0
2450245.791648 2447009.588967 15065322.248530 0 0
2450246.467534 2447010.262079 15109943.330687 0 0
2450246.789513 2447086.219983 15288990.959969 0 0
2450247.373637 2447086.801730 16701699.553611 0 0
2450247.689853 2447162.649892 17021238.450261 0 0
2450248.758337 2447239.124287 16459632.675412 0 0
2450249.380418 2447239.743883 16719023.994924 0 0
2450249.696085 2447315.326246 16907368.451780 0 0
2450250.441551 2447316.068761 17167957.765514 0 0
2450250.757163 2447391.489188 17386996.331291 0 0
2450251.399808 2447392.129314 18767094.430028 0 0
2450251.715356 2447467.367825 17963391.632569 0 0
2450252.704342 2447543.074120 19052121.346980 0 0
2450253.476370 2447543.843183 19587362.710168 0 0
2450253.792219 2447618.654818 19685321.424386 0 0
2450254.398495 2447619.258790 19985848.804409 0 0
2450254.714844 2447693.825247 20436052.310996 0 0
2450255.419366 2447694.527120 21666895.919642 0 0
2450256.457685 2447769.545382 21878017.386953 0 0
2450256.774484 2447843.555272 22203708.609338 0 0
2450257.422041 2447844.200449 23931060.205244 0 0
2450257.738342 2447917.898227 22359955.048947 1 0
2450259.518182 2448065.414588 12559123.834636 0 1
2450259.834314 2448065.729599 12275172.654750 0 0
2450260.796900 2448139.005833 12228517.091703 0 0
2450261.303509 2448139.510669 12472091.017413 0 0
2450261.409283 2448139.616072 13190254.446003 0 0
2450262.175625 2448212.299082 11874016.050080 0 0
2450262.193511 2448212.316906 12724014.855071 0 0
2450262.240677 2448212.363909 11888584.686452 0 0
2450262.290268 2448212.413329 11765696.213028 0 0
2450262.390657 2448212.513371 11904607.041516 0 0
2450262.414113 2448212.536746 12753240.053559 0 0
2450262.431997 2448212.554568 11917854.416510 0 0
2450262.483635 2448212.606028 12244493.890890 0 0
2450262.535379 2448284.158794 11925627.347713 0 0
2450262.586925 2448284.210164 11855517.006514 0 0
2450262.637405 2448284.260472 11926312.712989 0 0
2450262.688941 2448284.311832 11994444.858893 0 0
2450262.740254 2448284.362970 11918510.945311 0 0
2450262.791758 2448284.414299 11887460.003155 0 0
2450262.841732 2448284.464102 11983489.737383 0 0
2450262.891909 2448284.514108 11753328.461920 0 0
2450262.943626 2448284.565649 11773115.743805 0 0
2450263.242438 2448284.863442 11661344.405306 0 0
2450263.507101 2448356.190617 11810838.594253 0 0
2450263.823454 2448356.505906 12382735.245657 0 0
2450264.459065 2448357.139379 11827009.563112 0 0
2450264.774844 2448428.060644 12051119.510078 0 0
2450265.458901 2448428.742433 12117274.854119 0 0
2450265.774989 2448499.188912 12090384.845444 0 0
2450266.436695 2448499.848455 12807680.156313 0 0
2450266.753158 2448569.801061 12399765.774637 0 0
2450267.304620 2448570.350747 12804033.545911 0 0
2450267.620710 2448639.787026 12368507.242930 0 0
2450268.313369 2448640.477488 12439237.117163 0 0
2450268.629482 2448709.377299 13346811.280324 0 0
2450269.421078 2448710.166423 12641502.630642 0 0
2450269.737181 2448778.509287 15936615.130263 0 0
2450270.412967 2448779.182996 12887422.047535 0 0
2450270.729067 2448846.948152 12756836.001799 0 0
2450271.456465 2448847.673351 12999656.997292 0 0
2450271.772567 2448914.847690 13230659.247572 0 0
2450272.415651 2448915.488862 13249634.270754 0 0
2450272.731697 2448982.052411 13629557.012886 0 0
2450273.266599 2448982.585750 14185989.982964 0 0
2450273.582773 2449048.520996 14542133.807323 0 0
2450274.671701 2449114.583129 15024666.731213 0 0
2450275.355896 2449115.265395 15281221.736180 0 0
2450275.672937 2449179.897839 15202344.711747 0 0
2450276.362071 2449180.585066 15714203.874507 0 0
2450276.678139 2449244.540554 15601785.402198 0 0
2450277.418793 2449245.279196 16069794.667787 0 0
2450277.734870 2449308.542160 16782558.634989 0 0
2450278.775356 2449371.818311 17156068.430825 0 0
2450279.371152 2449372.412552 17994872.294003 0 0
2450279.687235 2449434.238195 18181439.754074 0 0
2450280.396804 2449434.945950 17698935.396553 0 0
2450280.712978 2449496.029224 17731797.412904 0 0
2450282.183653 2449557.502344 18399739.186657 0 0
2450282.465801 2449557.783801 20365421.628386 0 0
2450282.781908 2449617.325757 18264246.143771 0 0
2450283.493832 2449618.035976 18675036.050735 0 0
2450284.085165 2449677.055161 18792951.080630 0 0
2450284.106050 2449677.075997 19161896.145437 0 0
2450285.739896 2449793.100734 19218975.300724 0 0
2450286.381103 2449793.740511 19377898.208205 0 0
2450286.699772 2449849.990761 19449810.462161 0 0
2450287.206743 2449850.496629 19781144.213279 0 0
2450287.265434 2449850.555192 20050195.583856 0 0
2450287.351988 2449850.641558 19514940.205565 0 0
2450287.809455 2449906.161584 19600184.893374 1 0
2450288.745891 2449961.275854 22295744.691160 0 1
2450289.373079 2449961.901748 16064935.152671 0 0
2450289.479378 2449962.007827 15303674.898839 0 0
2450289.796073 2450015.604049 15756250.105633 0 0
2450290.611271 2450068.782841 16786596.694795 0 0
2450291.147695 2450069.318218 17381098.762605 0 0
2450291.485030 2450069.654894 17534949.709647 0 0
2450292.359693 2450121.963245 18781541.248262 0 0
2450292.429929 2450122.033348 19112942.243675 0 0
2450294.136964 2450223.762008 19177057.233056 0 0
2450294.240481 2450223.865340 19518960.480400 0 0
2450294.482719 2450224.107146 19370440.819738 0 0
2450295.087577 2450273.271108 20904926.434383 0 0
2450295.152980 2450273.336398 21044324.442414 0 0
2450295.496893 2450273.679717 21794586.692487 0 0
2450295.813149 2450321.568010 22448910.777235 0 0
2450296.669859 2450368.996683 24087037.607944 0 0
2450296.965031 2450369.291378 24833792.324151 0 0
2450297.426985 2450369.752587 26132211.026271 0 0
2450298.423697 2450416.300368 28012867.916301 0 0
2450300.682791 2450548.987844 35283434.234127 1 0
2450302.240777 2450591.910032 26405735.691599 0 1
2450302.541826 2450632.503352 25947810.513861 0 0
2450303.547019 2450672.715646 31532033.190797 0 0
2450304.541816 2450711.822519 40718833.628532 1 0
2450308.142226 2450823.078908 12135874.370309 0 1
2450310.541817 2450922.870408 12037026.921820 0 0
2450313.589762 2451012.737988 12389262.120355 0 0
2450314.585039 2451040.271288 12553209.318644 0 0
2450315.507093 2451066.515769 12782256.816611 0 0
2450316.507094 2451091.611382 13152164.527818 0 0
2450317.516429 2451115.480366 13344330.070779 0 0
2450318.340428 2451116.304007 13847324.655088 0 0
2450318.507120 2451138.086134 13942405.811319 0 0
2450319.541828 2451159.482992 15119462.400162 0 0
2450320.541816 2451179.584420 15453446.526861 0 0
2450322.507096 2451215.939837 16801528.563211 0 0
2450323.514054 2451232.221127 17129193.143754 0 0
2450324.510590 2451247.202724 17588541.816754 0 0
2450325.514061 2451260.896348 18457007.455535 0 0
2450326.507108 2451273.280028 19241057.143101 0 0
2450329.514059 2451302.625619 20877895.742474 0 0
2450330.514045 2451309.784758 21296612.873130 0 0
2450331.514040 2451315.628560 21531710.377325 0 0
2450332.514041 2451320.153840 21797512.282832 1 0
2450343.514110 2451282.136657 6316283.016615 0 1
2450344.545290 2451270.688254 6274769.088264 0 0
2450345.541843 2451257.867217 6094762.687803 0 0
2450346.541841 2451243.713108 6047988.893096 0 0
2450348.541833 2451211.405368 6116077.385505 0 0
2450349.541838 2451193.239192 6017967.995890 0 0
2450350.541826 2451173.772530 6101498.117131 0 0
2450352.541827 2451130.868309 6161919.638810 0 0
2450353.541843 2451107.450923 6004681.191485 0 0
2450355.541842 2451056.721921 6089659.929123 0 0
2450356.541854 2451029.424807 6079577.574322 0 0
2450357.541843 2451000.850980 5947180.442164 0 0
2450358.541829 2450971.006552 6015519.556329 0 0
2450360.541830 2450907.538770 6372629.683031 0 0
2450361.541843 2450873.931662 6352134.733090 0 0
2450362.541845 2450839.087198 6545052.667246 0 0
2450363.541825 2450803.014155 6457787.231997 0 0
2450364.541844 2450765.720858 6609980.597297 0 0
2450366.540433 2450687.510563 6328214.931467 0 0
2450369.540439 2450561.289414 6293474.228854 0 0
2450370.541845 2450516.883410 6424065.146546 0 0
2450371.541845 2450471.325908 6486621.311289 0 0
2450373.541828 2450376.806811 6280015.116513 0 0
2450376.541827 2450226.699480 6491634.754628 0 0
2450377.541827 2450174.496696 6689995.517749 0 0
2450377.791828 2450174.747153 6658286.321516 0 0
2450380.541826 2450011.611410 6992555.728006 0 0
2450381.541827 2449955.281819 7056299.863503 0 0
2450382.541783 2449897.964530 7068549.140008 0 0
2450383.605747 2449839.741499 7190619.270490 0 0
2450384.544278 2449780.440176 7321162.632634 0 0
2450385.563325 2449720.284681 7423301.396609 0 0
2450386.527938 2449659.157529 7521052.668200 0 0
2450387.527939 2449597.166541 7694954.556356 0 0
2450388.527973 2449470.011310 7872213.964959 0 0
2450389.541827 2449405.454367 8021171.848632 0 0
2450390.541827 2449340.060193 7994750.127728 0 0
2450391.541827 2449273.862321 8101463.761265 0 0
2450393.072590 2449207.413394 8141085.755039 0 0
2450394.541819 2449070.651532 8392217.940090 0 0
2450396.049485 2449001.951659 8541014.793456 0 0
2450396.541783 2448931.528687 8564518.968638 0 0
2450397.305706 2448932.294057 8423990.877648 0 0
2450397.472371 2448932.461038 8466223.589666 0 0
2450397.750148 2448861.148029 8318384.459283 0 0
2450398.125161 2448861.523750 8389091.162419 0 0
2450398.236260 2448861.635059 8354273.474887 0 0
2450398.291827 2448861.690730 8309756.803778 0 0
2450398.347371 2448861.746379 8348612.334344 0 0
2450398.375170 2448861.774231 8356109.067348 0 0
2450398.750150 2448789.893460 8486643.357591 0 0
2450399.083482 2448790.227418 8516854.523152 0 0
2450399.541826 2448717.788695 8651422.553736 0 0
2450400.541826 2448645.272602 8748878.810258 0 0
