# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.567611 47542325.151332 4532515.184476 0 0
2450191.289183 47572871.017905 4536707.496915 0 0
2450194.255214 49196438.362876 4754955.539889 0 0
2450195.207583 50146193.922277 4887182.674355 0 0
2450196.159989 49126767.064971 4836598.694771 0 0
2450196.437653 47791695.354730 4720694.910641 0 0
2450198.349129 46049914.493918 4669221.531015 0 0
2450198.520293 46575898.712226 4734899.371921 0 0
2450198.833375 45606891.580250 4659336.043255 0 0
2450198.937728 45226516.136647 4628236.452511 0 0
2450199.042089 45484295.391518 4662446.119885 0 0
2450199.219921 55564752.893753 5711469.494192 0 0
2450199.345139 45080356.290806 4644160.357787 0 0
2450199.670725 45294754.290444 4691901.278927 0 0
2450199.999411 58187932.433825 6060717.738504 0 0
2450200.576939 44860736.874414 4721895.468786 0 0
2450201.068195 45022384.348513 4782108.993534 0 0
2450201.333361 45580790.676885 4865684.070631 0 0
2450201.451353 45640099.207491 4882999.055481 0 0
2450201.693618 53539542.677680 5754281.262211 0 0
2450201.935613 50543058.994960 5458155.833420 0 0
2450202.177775 52170474.086211 5660796.335294 0 0
2450202.316893 45294516.314573 4928868.702343 0 0
2450202.447081 45419997.427529 4955427.498585 0 0
2450202.689923 58808176.496212 6446581.125063 0 0
2450202.932967 46924783.173330 5170226.625860 0 0
2450203.176640 54242408.789310 6006014.421223 0 0
2450203.346082 46242501.728495 5138816.211188 0 0
2450203.601498 47328189.219311 5287548.366521 0 0
2450203.971175 55842384.140330 6287112.869195 0 0
2450204.340798 46764429.883783 5307451.983953 0 0
2450204.562402 46566840.238937 5310387.858962 0 0
2450204.932151 47457087.162863 5455562.612704 0 0
2450205.292383 46588586.577313 5398334.161119 0 0
2450205.595714 55286037.533337 6448620.702576 0 0
2450205.957008 60022621.658582 7057466.706588 0 0
2450206.509475 56711977.682462 6751716.281520 0 0
2450206.871177 56549281.064610 6787776.210056 0 0
2450207.234798 58671807.754649 7101042.493190 0 0
2450207.375746 62158511.549645 7547162.219540 0 0
2450207.553457 57550375.755822 7016350.400853 0 0
2450207.915437 49917267.931496 6137006.004910 0 0
2450208.393263 50474771.071781 6274343.512933 0 0
2450208.567823 50888608.782577 6351362.034135 0 0
2450208.875045 50941185.023860 6403399.445068 0 0
2450209.184507 51991403.794650 6582543.024737 0 0
2450209.335144 63853411.453884 8112147.605079 0 0
2450209.510612 52676911.259455 6720136.427179 0 0
2450209.817326 54110607.108718 6952539.223253 0 0
2450210.126492 53997142.741499 6988264.633537 0 0
2450210.604391 55329394.607707 7241097.756618 0 0
2450210.846870 67259217.468234 8851954.096256 0 0
2450211.089119 57320974.941048 7587274.731680 0 0
2450211.332643 57315440.783739 7629941.727297 0 0
2450211.418632 57724482.047553 7699869.467346 0 0
2450211.558839 57590535.429970 7707261.423441 0 0
2450211.805896 57430326.769060 7730432.240298 0 0
2450212.049961 56463912.890991 7643953.570350 0 0
2450212.292204 56994930.897299 7759693.766153 0 0
2450212.656448 57520335.753004 7898199.887021 0 0
2450212.899251 60826900.590688 8399625.791535 0 0
2450213.142042 58984143.146891 8191553.457128 0 0
2450213.498353 73214035.881279 10252111.931974 0 0
