# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.228552 1899606.358274 451485.103260 0 0
2450190.437762 1918461.406789 455966.392822 0 0
2450199.624815 2604497.243989 669637.820279 1 0
2450229.584587 2304035.149409 595233.521653 0 1
2450230.616413 2362293.571575 610390.950237 0 0
2450231.501208 2301483.586768 595091.737513 0 0
2450232.512828 2235456.648350 578842.418895 0 0
2450233.310861 2250318.794248 583642.235997 0 0
2450233.515804 2264153.581416 587477.810725 0 0
2450234.510055 2362733.075558 614683.796638 0 0
2450236.605078 2801992.182820 734473.938129 0 0
2450237.486227 2774191.361667 730065.780294 0 0
2450238.437262 3037606.279433 803161.022977 0 0
2450239.541179 3067324.931253 815944.331894 0 0
2450241.445346 3320498.030848 893874.673618 0 0
2450242.343074 3543452.061591 959825.353913 0 0
2450242.349190 3536736.903034 958048.060596 0 0
2450242.628790 3538294.759365 960398.293468 0 0
2450243.530751 3347368.846682 914684.162147 0 0
2450245.579265 3344518.573801 929039.813483 0 0
2450246.573789 3070390.249741 860196.663042 0 0
2450248.546451 3060807.443969 872976.124948 0 0
2450249.484727 2951983.047126 849429.863806 0 0
2450250.545739 2838053.554121 825179.769062 0 0
2450251.503907 2797122.984755 821110.560707 0 0
2450252.308926 2768707.690832 819424.954318 0 0
2450252.492536 2766998.541330 820460.714370 0 0
2450253.396022 2676499.007536 801122.016088 0 0
2450253.580692 2721626.071924 816255.093082 0 0
2450254.503419 2772424.095784 839668.371755 0 0
2450255.523872 2881090.615957 882209.201724 0 0
2450256.351376 2866774.017263 885715.464659 0 0
2450256.562648 2891679.089995 895535.486133 0 0
2450257.341357 2970694.116780 927877.096581 0 0
2450257.526541 2927639.056554 916366.450467 1 0
2450259.622919 3637690.364314 939573.763791 0 1
2450260.585762 3735960.004499 965257.186994 0 0
2450261.513895 3804411.946876 983802.346997 0 0
2450262.160511 3867499.214003 1000947.186981 0 0
2450262.179528 3864844.794461 1000288.395710 0 0
2450262.201926 3873462.817133 1002552.814707 0 0
2450262.253459 3887980.178399 1006391.583845 0 0
2450262.303064 3920957.502866 1015003.951567 0 0
2450262.418020 3910496.360246 1012483.400318 0 0
2450262.444837 3939941.703993 1020152.497631 0 0
2450262.548190 3875144.667083 1003700.449862 0 0
2450262.599730 3853292.342688 998130.290709 0 0
2450262.650172 3877305.512853 1004440.578232 0 0
2450262.701756 3849321.796346 997284.189604 0 0
2450262.753068 3856908.551701 999343.871774 0 0
2450262.804581 3871380.364589 1003190.186774 0 0
