# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.518066 27976291.425018 6022.342371 0 0
2450191.375772 28196585.584505 5732.836480 0 0
2450194.269759 28060899.388364 5741.293279 0 0
2450195.309157 28117115.716791 5718.981132 0 0
2450196.174143 27818781.610814 5712.360241 0 0
2450196.458477 27704646.095126 5665.933422 0 0
2450197.181455 27554851.294997 5669.058314 0 0
2450198.119561 27509372.479935 5661.658026 0 0
2450198.307371 28068478.642889 5711.587458 0 0
2450199.104713 27577739.974908 5663.338193 0 0
2450199.282530 27295404.998079 5642.264196 0 0
2450199.655457 27215880.533639 5609.648615 0 0
2450199.984149 27371577.736555 5648.466251 0 0
2450200.647513 27746786.980093 5708.669579 0 0
2450200.895822 27188383.359157 5665.747650 0 0
2450201.521834 27524327.187262 5683.315193 0 0
2450201.763889 27349977.951355 5670.421959 0 0
2450202.005902 27266578.739031 5658.443287 0 0
2450202.248108 27264372.937658 5652.139632 0 0
2450202.517573 27862149.842904 5713.364576 0 0
2450202.760403 27419648.550858 5677.496108 0 0
2450203.004049 28958360.198039 5828.863310 0 0
2450203.247173 27428591.762278 5669.015383 0 0
2450203.632106 27682314.233106 5704.778213 0 0
2450204.001798 27669973.798748 5705.537089 0 0
2450204.371411 27620953.236227 5689.493135 0 0
2450204.389907 27647779.376862 5694.215686 0 0
2450204.593020 27796366.782743 5708.553652 0 0
2450204.962764 27882201.347254 5718.513208 0 0
2450205.323003 28238068.291902 5750.237084 0 0
2450205.641655 27935913.689358 5718.472467 0 0
2450206.002929 30200266.668509 5944.576633 0 0
2450206.555423 29632326.759474 5878.909072 0 0
2450207.280855 28031830.294288 5727.894215 0 0
2450207.405861 27936399.438447 5714.987145 0 0
2450207.599468 28008902.524940 5720.868185 0 0
2450207.961413 28124938.252054 5740.119437 0 0
2450208.524812 28659965.635303 5781.185636 0 0
2450208.832048 28575158.832867 5772.955965 0 0
2450209.141505 28719230.238805 5789.169640 0 0
2450209.467639 28892691.921208 5797.856530 0 0
2450209.774369 29340302.102707 6082.949557 0 0
2450210.083523 29841970.694664 5883.614238 0 0
2450210.511085 29533499.736606 5805.490052 0 0
2450210.674854 30643010.181256 5958.029809 0 0
2450210.917141 29868844.219396 5893.620846 0 0
2450211.159512 30140443.420485 5910.467372 0 0
2450211.403548 30101217.401956 5991.452989 0 0
2450211.629113 30074230.876692 5909.628925 0 0
2450211.878233 30094960.895252 5903.760999 0 0
2450212.120248 30346101.648439 5939.350791 0 0
2450212.726943 30483130.482306 5953.619829 0 0
2450212.969736 30243476.882343 5910.831002 0 0
2450213.212536 30579728.226075 6268.101201 0 0
2450213.415047 30654592.281971 5976.481938 0 0
2450213.568810 31169870.819911 6007.705586 0 0
2450213.811127 30730175.450091 5959.150524 0 0
2450214.053530 30654095.938090 5959.888230 0 0
2450214.562209 31388962.545657 6022.396617 0 0
2450214.804340 32019023.030119 6250.002463 0 0
2450215.046349 30066467.808990 5901.813399 0 0
2450215.288430 30343372.411755 5921.053371 0 0
2450215.450474 31296137.363510 6012.655330 0 0
2450215.613314 30579990.521584 5950.450775 0 0
2450215.857625 30246027.261304 5984.130027 0 0
2450216.101774 30391164.953075 5927.202081 0 0
2450216.317580 30252744.500598 5908.218036 0 0
2450216.482079 29947680.954409 5878.893108 0 0
2450216.725074 30281126.658364 5913.875379 0 0
2450217.211929 29658399.065885 5857.976593 0 0
2450217.407243 29480562.170628 5840.717350 0 0
2450217.572524 29889346.017182 5866.817223 0 0
2450217.815066 29745536.713903 5866.451426 0 0
2450218.058904 29709207.823097 5853.535593 0 0
2450218.302880 29448860.585200 5828.916263 0 0
2450218.451464 29518122.477331 5857.464637 0 0
2450218.678587 29353544.880642 5833.550526 0 0
2450219.370539 29177065.620628 5861.956659 0 0
2450219.558401 29020374.134913 5793.847659 0 0
2450220.313835 29827578.505468 5886.312610 0 0
2450220.502419 28709139.452860 5766.835975 0 0
2450221.395427 28563436.273071 5752.447137 0 0
2450221.580770 28917965.208211 5895.481477 0 0
2450221.794922 28693584.297523 5849.534249 0 0
2450222.009394 28777716.701840 5866.180090 0 0
2450222.334618 28089659.132023 5736.735290 0 0
2450223.423158 27537188.931123 5705.655952 0 0
2450224.253069 27425738.666338 5639.025583 0 0
2450225.516759 27796102.721664 5668.043475 0 0
2450225.683761 27001932.820452 5585.902238 0 0
2450226.637992 27991842.356586 5736.586604 0 0
2450226.889562 27204772.623212 6316.265017 1 0
2450229.349408 28268746.684177 5670.027444 0 1
2450229.579518 28113605.138747 5761.152578 0 0
2450230.234315 32999853.029755 6386.613305 0 0
2450230.318847 29414406.233334 5915.704615 0 0
2450230.415105 28400406.900371 5786.258463 0 0
2450230.611350 28397275.689130 5779.180377 0 0
2450231.299934 27191403.428101 5677.934685 0 0
2450231.496140 26860773.926265 5667.671839 0 0
2450232.507763 26545791.693884 5582.546797 0 0
2450233.304541 26125758.368385 5556.904931 0 0
2450233.510724 26660594.206881 5594.145405 0 0
2450234.303012 26077902.889058 5546.577327 0 0
2450235.308345 26288341.301969 5583.681253 0 0
2450236.600022 26880469.010346 5617.375242 0 0
2450237.285068 26751532.283076 5646.607511 0 0
2450238.237944 27621924.700666 6145.045250 0 0
2450238.433180 26947605.150335 6016.414072 0 0
2450239.311845 27916746.977556 6287.648992 0 0
2450239.341769 27557383.191365 6235.828938 0 0
2450239.537077 27516309.797248 6104.770183 0 0
2450240.213245 27339462.550513 6133.070130 0 0
2450241.259295 27395230.463086 6098.892095 0 0
2450241.441258 27769281.601480 6131.462095 0 0
2450242.307082 27390022.647779 6199.550678 0 0
2450242.624708 27514570.084593 6105.834001 0 0
2450243.331144 27021032.044180 6098.125411 0 0
2450243.526662 27403807.844717 6102.155852 0 0
2450245.396010 27417440.213115 6156.078188 0 0
2450245.575170 27146264.774277 6088.104368 0 0
2450246.372282 26756988.323560 6064.935805 0 0
2450246.569707 27065226.433438 6075.473438 0 0
2450247.276656 29003511.978798 8691.413907 0 0
2450247.473969 26297852.286722 6022.234594 0 0
2450248.542491 27570639.611132 6570.841434 0 0
2450249.285227 27312221.353408 6213.909230 0 0
2450249.480636 28274654.481573 6421.636432 0 0
2450250.541649 27940976.065944 6299.211400 0 0
2450251.499827 27036576.715545 6185.650187 0 0
2450252.292781 28494296.778748 6362.807724 0 0
2450252.488457 27293204.491207 6477.165652 0 0
2450253.380422 27660149.044558 6286.899093 0 0
2450253.576613 28353732.354410 6352.306441 0 0
2450254.322376 28278685.036567 6082.285989 0 0
2450254.498973 28165704.884424 5961.687376 0 0
2450255.318983 28406904.665467 6072.746504 0 0
2450255.519416 29208026.909879 6087.741070 0 0
2450256.341083 28728478.661603 6058.933795 0 0
2450256.558166 29100183.618886 6076.693260 0 0
2450257.326435 29187211.400910 6126.993823 0 0
2450257.522064 29311787.381990 6091.357941 0 0
2450258.281691 28498592.987917 5906.606879 1 0
2450259.422244 32946001.738553 6290.620102 0 1
2450259.618449 32633226.393802 6312.021291 0 0
2450260.385576 30318354.783596 6154.113573 0 0
2450260.581306 30522795.801472 6550.768293 0 0
2450261.272419 29206631.330259 5959.354037 0 0
2450261.295232 29264343.351376 5954.815221 0 0
2450261.299357 29199910.376327 5942.028371 0 0
2450262.189049 29275781.382633 6027.762967 0 0
2450262.225970 29289882.376373 6019.911404 0 0
2450262.327373 29380701.138271 6020.055222 0 0
2450262.398466 29700909.844901 6045.055929 0 0
2450262.468918 29261334.532448 6010.422442 0 0
2450262.520699 29368554.121420 6003.357953 0 0
2450262.572256 29461117.554775 6017.169090 0 0
2450262.623759 29466267.039024 6143.125959 0 0
2450262.674220 29567324.178921 6027.038653 0 0
2450262.777078 29468526.929724 6005.871415 0 0
2450262.828665 29503488.654344 6233.582309 0 0
2450262.878641 29489156.154659 6205.056051 0 0
2450262.928943 29478042.086860 6021.064364 0 0
2450262.980489 29648826.572267 6035.746142 0 0
2450263.607569 29409395.505835 6070.389114 0 0
2450264.559128 29246447.252250 6010.676599 0 0
2450265.330905 29339354.847343 6001.195562 0 0
2450266.537162 29314233.972538 6164.052520 0 0
2450267.226058 29908922.721832 6070.228811 0 0
2450267.404839 29153999.462548 6066.701455 0 0
2450268.413598 28583906.290875 5915.366589 0 0
2450269.325323 28789701.169932 5882.425808 0 0
2450270.314376 28645145.572889 5918.655290 0 0
2450271.335999 28391357.393613 6027.978632 0 0
2450271.556701 28762367.763485 5917.023482 0 0
2450272.319981 28684407.870291 5906.640239 0 0
2450272.515843 29501947.408127 6046.904158 0 0
2450273.366924 29655040.835353 6477.053109 0 0
2450274.278842 29073531.025604 6174.333437 0 0
2450274.455849 29458648.363114 6224.423009 0 0
2450275.279393 29486934.506371 6224.953679 0 0
2450275.456504 29467949.166717 6201.323752 0 0
2450276.248951 31551743.370032 6411.457043 0 0
2450276.462294 28965224.026215 6171.193958 0 0
2450277.321059 29325516.061969 6002.055963 0 0
2450277.519048 28851037.050366 5905.012620 0 0
