# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.518066 39269702.394914 3743470.963046 0 0
2450191.375772 39560254.098335 3772531.608431 0 0
2450194.269759 39351137.287439 3803528.784473 0 0
2450195.309157 39422641.741498 3845708.119444 0 0
2450196.174143 39000937.963090 3840122.114692 0 0
2450196.458477 38834913.197835 3836665.982967 0 0
2450197.181455 38624919.386259 3851186.851579 0 0
2450198.119561 38556834.015711 3895659.063924 0 0
2450198.307371 39336425.954726 3985545.886655 0 0
2450198.457697 38449589.298237 3904759.951470 0 0
2450199.104713 38647609.135937 3965323.245053 0 0
2450199.282530 38248252.194084 3935892.776575 0 0
2450199.655457 38144757.439428 3949952.867270 0 0
2450199.984149 38356070.772660 3994426.257750 0 0
2450200.647513 38884043.380576 4097688.302869 0 0
2450200.895822 38096289.553732 4033183.031764 0 0
2450201.521834 38570204.741750 4131900.960163 0 0
2450201.763889 38320825.014154 4124491.740643 0 0
2450202.005902 38198903.515958 4130921.595423 0 0
2450202.248108 38190745.063724 4149910.999120 0 0
2450202.517573 39039111.569216 4264971.704834 0 0
2450202.760403 38413925.795132 4217456.042353 0 0
2450203.004049 40564215.561999 4475550.437910 0 0
2450203.247173 38416295.303778 4260162.615877 0 0
2450203.632106 38780410.898249 4335249.219202 0 0
2450204.001798 38755346.538746 4366503.096771 0 0
2450204.371411 38678893.277118 4392543.495065 0 0
2450204.389907 38716109.743669 4398518.186946 0 0
2450204.593020 38919952.305601 4441107.453668 0 0
2450204.962764 39032231.616461 4489922.555325 0 0
2450205.323003 39522652.415055 4582425.506259 0 0
2450205.641655 39110173.327382 4566772.779303 0 0
2450206.002929 42271960.086570 4975577.159928 0 0
2450206.555423 41482908.267815 4943879.214070 0 0
2450207.280855 39226803.045675 4752989.637667 0 0
2450207.405861 39090600.802804 4750065.163224 0 0
2450207.599468 39205570.786946 4785213.191968 0 0
2450207.961413 39360200.635413 4844223.071615 0 0
2450208.524812 40114882.715796 5001715.575885 0 0
2450208.832048 39989474.931975 5021746.856898 0 0
2450209.141505 40184306.515440 5082623.349752 0 0
2450209.467639 40419832.308674 5151371.035983 0 0
2450209.774369 41057966.563697 5270218.029753 0 0
2450210.083523 41752986.890639 5398212.795867 0 0
2450210.511085 41330933.490991 5397388.691856 0 0
2450210.674854 42879793.248534 5621023.316875 0 0
2450210.917141 41791072.718192 5509562.495258 0 0
2450211.159512 42165423.740715 5590527.277580 0 0
2450211.403548 42104934.890882 5614514.337276 0 0
2450211.629113 42081725.606073 5641147.946867 0 0
2450211.878233 42105000.438104 5677292.980702 0 0
2450212.120248 42450780.180419 5756414.421454 0 0
2450212.726943 42648523.487065 5865883.783884 0 0
2450212.969736 42307626.975399 5852133.667274 0 0
2450213.212536 42772293.318297 5950009.105561 0 0
2450213.415047 42872369.610952 5992166.816649 0 0
2450213.568810 43610111.286419 6117112.786177 0 0
2450213.811127 42989237.860957 6064202.536712 0 0
2450214.053530 42877150.773291 6082607.301002 0 0
2450214.562209 43913968.839259 6303631.322336 0 0
2450214.804340 44789585.351004 6465429.414039 0 0
2450215.046349 42052689.132210 6104628.265507 0 0
2450215.288430 42434394.784475 6194545.968713 0 0
2450215.450474 43763011.992915 6412317.676617 0 0
2450215.613314 42778421.741609 6291679.545090 0 0
2450215.857625 42305586.077096 6257234.270719 0 0
2450216.101774 42502987.482929 6321750.219167 0 0
2450216.317580 42304461.022437 6323429.540372 0 0
2450216.482079 41874111.911985 6282735.846590 0 0
2450216.725074 42355363.000201 6390272.741929 0 0
2450217.211929 41473371.718671 6327006.063393 0 0
2450217.377755 40064404.074012 6135211.863079 0 0
2450217.407243 41220310.180662 6316353.995256 0 0
2450217.572524 41808623.080676 6430493.730722 0 0
2450217.815066 41601943.603085 6433907.638858 0 0
2450218.058904 41545719.391825 6460654.047167 0 0
2450218.302880 41176172.558173 6438463.421276 0 0
2450218.451464 41269728.388232 6474652.867940 0 0
2450218.678587 41054707.924388 6473805.774079 0 0
2450219.370539 40792646.529211 6532538.637402 0 0
2450219.558401 40589546.116279 6527188.173931 0 0
2450220.313835 41701463.237082 6818687.182180 0 0
2450220.502419 40153762.581608 6592970.911921 0 0
2450221.395427 39930630.358427 6685313.198588 0 0
2450221.580770 40442506.977339 6798224.290145 0 0
2450221.794922 40124051.063431 6776009.331177 0 0
2450222.009394 40237030.071304 6826569.702155 0 0
2450222.334618 39268075.842986 6708958.926827 0 0
2450223.423158 38492522.436255 6730684.369441 0 0
2450224.253069 38338908.465084 6821799.009705 0 0
2450225.516759 38869838.971879 7099727.666025 0 0
2450225.683761 37755867.435924 6920006.581464 0 0
2450226.637992 39139963.705492 7314292.851525 0 0
2450226.889562 38034246.645226 7143920.982921 1 0
2450229.349408 40685129.994189 4478544.865084 0 1
2450229.579518 40469576.520790 4453846.818888 0 0
2450230.234315 47459372.803750 5224890.448364 0 0
2450230.318847 42297758.194774 4657947.964613 0 0
2450230.415105 40834138.274136 4498018.664100 0 0
2450230.611350 40839556.746746 4501328.599714 0 0
2450231.299934 39067263.856236 4320290.174641 0 0
2450231.496140 38581522.671834 4271994.679596 0 0
2450232.507763 38114463.998382 4257156.314064 0 0
2450233.304541 37469233.832299 4224445.144331 0 0
2450233.510724 38245168.122693 4323737.915739 0 0
2450234.303012 37367567.460125 4274903.508318 0 0
2450235.308345 37635606.979406 4382120.734500 0 0
2450236.600022 38454009.225920 4597262.509966 0 0
2450237.285068 38232844.546926 4642308.066939 0 0
2450238.237944 39444303.072433 4900869.548377 0 0
2450238.433180 38470894.811234 4803536.242344 0 0
2450239.311845 39827660.341663 5087289.942337 0 0
2450239.341769 39313100.574204 5025600.955659 0 0
2450239.537077 39264569.487553 5045591.218455 0 0
2450240.213245 38975424.877735 5101222.694258 0 0
2450241.259295 39018479.956253 5258459.771865 0 0
2450241.441258 39541193.966750 5356519.425644 0 0
2450242.307082 38958071.741779 5410790.969326 0 0
2450242.443190 35406000.737819 4937307.309325 0 0
2450242.624708 39097146.026261 5480528.058018 0 0
2450243.331144 38358424.080866 5489582.547786 0 0
2450243.526662 38870848.468104 5595013.620727 0 0
2450245.396010 38768164.144276 5898413.450305 0 0
2450245.575170 38354969.963226 5866762.787833 0 0
2450246.372282 37763230.608956 5914784.769049 0 0
2450246.569707 38167706.004146 6013232.527203 0 0
2450247.276656 40868225.502390 6574698.572194 0 0
2450247.473969 37040823.716879 5994094.976631 0 0
2450248.542491 38732605.845620 6467738.584049 0 0
2450249.285227 38330664.167120 6540749.061425 0 0
2450249.480636 39671593.118300 6807982.741392 0 0
2450250.541649 39105083.338965 6918943.655490 0 0
2450251.499827 37789326.491131 6870721.922438 0 0
2450252.292781 39762190.601610 7391842.658089 0 0
2450252.488457 38075963.789380 7117149.346295 0 0
2450253.380422 38520454.250292 7379602.452981 0 0
2450253.576613 39455310.748008 7599293.842020 0 0
2450254.322376 39310971.816960 7726249.994458 0 0
2450254.498973 39144480.523814 7730192.838299 0 0
2450255.318983 39414748.266377 7955703.884086 0 0
2450255.519416 40494529.093170 8217008.482487 0 0
2450256.341083 39784958.257864 8248690.474652 0 0
2450256.558166 40267021.255905 8395755.927015 0 0
2450257.326435 40345090.718028 8579799.463903 0 0
2450257.522064 40485635.923599 8652689.341547 0 0
2450258.281691 39321852.953880 8566723.760099 1 0
2450259.422244 46103435.244238 5045161.470221 0 1
2450259.618449 45628554.218152 4992093.049996 0 0
2450260.385576 42341474.823222 4635254.634677 0 0
2450260.581306 42592217.718132 4665007.683209 0 0
2450261.272419 40712441.901304 4472396.855833 0 0
2450261.295232 40791453.180599 4481637.813398 0 0
2450261.299357 40701354.145219 4471853.070136 0 0
2450262.189049 40730436.849688 4504089.207895 0 0
2450262.225970 40747731.772419 4507488.081499 0 0
2450262.327373 40867740.782031 4524966.947425 0 0
2450262.398466 41308813.308521 4576843.317014 0 0
