status date_beg time_beg dur[h]
heaterOn 1996/05/23 19:21 45
heaterOff 1996/05/25 16:37 0
heaterOn 1996/06/23 19:10 24
heaterOff 1996/06/24 18:48 0
heaterOn 1996/07/23 15:48 2.5
heaterOff 1996/07/23 18:26 0
heaterOn 1996/08/05 18:50 15
heaterOff 1996/08/06 10:00 0
heaterOn 1996/08/09 15:05 71.5
heaterOff 1996/08/12 13:31 0
heaterOn 1996/09/06 19:49 236
heaterOff 1996/09/16 15:43 0
heaterOn 1996/12/19 13:14 2.5
heaterOff 1996/12/19 15:49 0
heaterOn 1997/01/3 21:50 156
heaterOff 1997/01/10 10:00 0
heaterOn 1997/02/20 21:57 13
heaterOff 1997/02/21 11:00 0
heaterOn 1997/03/21 14:26 70.5
heaterOff 1997/03/24 12:56 0
heaterOn 1997/07/18 13:30 210
heaterOff 1997/07/27 20:00 0
heaterOn 1997/11/28 23:00 76.0
heaterOff 1997/12/2 03:00 0
heaterOn 1998/03/20 16:35 72.4
heaterOff 1998/03/23 16:58 0
heaterOn 1998/04/10 22:00 72.0
heaterOff 1998/04/13 22:00 0
heaterOn 1998/06/18 21:58 81.9
heaterOff 1998/06/22 07:51 0
heaterOn 1999/02/4 17:25 17.3
heaterOff 1999/02/5 10:45 0
heaterOn 1999/05/22 15:20 37.7
heaterOff 1999/05/24 05:00 0
heaterOn 1999/05/31 13:30 18.5
heaterOff 1999/06/01 08:00 0
heaterOn 1999/10/8 20:23 83.6
heaterOff 1999/10/12 08:00 0
heaterOn 1999/10/29 21:41 65.3
heaterOff 1999/11/1 15:00 0
heaterOn 2000/02/04 21:00 37
heaterOff 2000/02/06 10:00 0
heaterOn 2000/06/17 03:49 76.2
heaterOff 2000/06/20 08:00 0
heaterOn 2001/02/16 22:06 91.5
heaterOff 2001/02/20 17:30 0
heaterOn 2001/05/10 22:54 84.1
heaterOff 2001/05/14 11:00 0
heaterOn 2001/06/15 21:00 64.0
heaterOff 2001/06/18 13:00 0
heaterOn 2001/08/31 16:00 90.0
heaterOff 2001/09/4 10:00 0
heaterOn 2001/11/3 19:00 48.3
heaterOff 2001/11/5 19:22 0
heaterOn 2002/01/11 23:05 68.0
heaterOff 2002/01/14 10:00 0
heaterOn 2002/03/30 03:30 78.5
heaterOff 2002/04/2 10:00 0
heaterOn 2002/06/15 03:36 81.4
heaterOff 2002/06/18 13:00 0
heaterOn 2002/08/30 23:46 83.0
heaterOff 2002/09/3 11:00 0
heaterOn 2002/11/14 19:06 86.9
heaterOff 2002/11/18 10:00 0
heaterOn 2003/02/1 02:00 56.0
heaterOff 2003/02/3 10:00 0
heaterOn 2003/04/19 02:00 82.0
heaterOff 2003/04/22 12:00 0
heaterOn 2003/06/25 00:00 193
heaterOff 2003/07/3 01:00 0
heaterOn 2003/09/26 03:35 168.5
heaterOff 2003/10/3 08:00 0
heaterOn 2003/12/26 22:18 251.7
heaterOff 2004/01/6 10:00 0
heaterOn 2004/03/18 03:00 415
heaterOff 2004/04/4 10:00 0
heaterOn 2004/06/15 20:00 446
heaterOff 2004/07/4 10:00 0
heaterOn 2004/09/10 22:00 540
heaterOff 2004/10/3 10:00 0
heaterOn 2004/12/11 18:47 400
heaterOff 2004/12/28 10:00 0
heaterOn 2005/03/11 22:30 467
heaterOff 2005/03/31 10:00 0
heaterOn 2005/06/6 21:52 420
heaterOff 2005/06/24 10:00 0
heaterOn 2005/09/2 23:00 491
heaterOff 2005/09/23 10:00 0
heaterOn 2005/12/2 19:40 374
heaterOff 2005/12/18 10:00 0
heaterOn 2006/02/28 04:00 438
heaterOff 2006/03/18 10:00 0
heaterOn 2006/05/27 01:30 462
heaterOff 2006/06/15 08:00 0
heaterOn 2006/08/19 00:00 685
heaterOff 2006/09/16 13:00 0
heaterOn 2006/11/25 21:49 386
heaterOff 2006/12/12 10:00 0
heaterOn 2007/02/13 21:10 638
heaterOff 2007/03/12 12:00 0
heaterOn 2007/05/18 18:00 141
heaterOff 2007/05/24 15:00 0
heaterOn 2007/08/26 21:00 132
heaterOff 2007/09/1 09:00 0
heaterOn 2007/11/19 11:00 120
heaterOff 2007/11/24 11:00 0
heaterOn 2008/02/22 21:00 145
heaterOff 2008/02/28 22:00 0
heaterOn 2008/05/16 22:44 136
heaterOff 2008/05/22 14:57 0
heaterOn 2008/08/8 16:30 278.5
heaterOff 2008/08/20 07:00 0
heaterOn 2008/11/12 11:30 163.5
heaterOff 2008/11/19 07:00 0
heaterOn 2009/02/7 20:15 168
heaterOff 2009/02/14 20:00 0
heaterOn 2009/05/2 17:00 132
heaterOff 2009/05/8 05:00 0
heaterOn 2009/08/4 18:00 176
heaterOff 2009/08/12 02:00 0
heaterOn 2009/11/01 16:00 119
heaterOff 2009/11/06 11:00 0
heaterOn 2010/01/27 20:00 131
heaterOff 2010/02/2 07:00 0
heaterOn 2010/04/26 01:00 129
heaterOff 2010/05/1 10:00 0
heaterOn 2010/07/20 23:30 175.5
heaterOff 2010/07/28 07:00 0
heaterOn 2011/02/9 17:00 161
heaterOff 2011/02/16 10:00 0
heaterOn 2011/07/18 15:30 102.5
heaterOff 2011/07/22 22:00 0
heaterOn 2012/01/5 21:00 145
heaterOff 2012/01/11 22:00 0
heaterOn 2012/07/2 14:30 153.5
heaterOff 2012/07/9 02:00 0
heaterOn 2013/06/21 10:20 230
heaterOff 2013/07/1 00:00 0
heaterOn 2013/12/18 14:00 279
heaterOff 2013/12/30 02:00 0
heaterOn 2014/06/13 03:05 253
heaterOff 2014/06/23 16:00 0
heaterOn 2014/12/11 13:00 199
heaterOff 2014/12/19 20:00 0
heaterOn 2015/06/4 03:00 188
heaterOff 2015/06/11 23:20 0
heaterOn 2015/12/3 00:00 204
heaterOff 2015/12/11 12:00 0
heaterOn 2016/05/26 08:45 185
heaterOff 2016/06/3 02:00 0
heaterOn 2017/05/13 03:23 296
heaterOff 2017/05/25 14:00 0
heaterOn 2018/05/4 04:00 238
heaterOff 2018/05/14 02:00 0
heaterOn 2019/04/24 00:00 288
heaterOff 2019/05/06 00:00 0
heaterOn 2020/04/16 00:00 336
heaterOff 2020/04/30 00:00 0
heaterOn 2021/04/06 12:00 216
heaterOff 2021/04/15 12:00 0
heaterOn 2022/04/01 00:00 216
heaterOff 2022/04/10 00:00 0
heaterOn 2023/01/01 00:00 744
heaterOff 2023/02/01 00:00 0
heaterOn 2023/12/29 18:00 6
heaterOff 2023/12/30 00:00 0

