status date_beg time_beg jd
heaterOn 23-may-1996 19:21 2450227.306
heaterOff 25-may-1996 16:37 2450229.192
heaterOn 23-jun-1996 19:10 2450258.299
heaterOff 24-jun-1996 18:48 2450259.283
heaterOn 23-jul-1996 15:48 2450288.158
heaterOff 23-jul-1996 18:26 2450288.268
heaterOn 05-aug-1996 18:50 2450301.285
heaterOff 06-aug-1996 10:00 2450301.917
heaterOn 09-aug-1996 15:05 2450305.128
heaterOff 12-aug-1996 13:31 2450308.063
heaterOn 06-sep-1996 19:49 2450333.326
heaterOff 16-sep-1996 15:43 2450343.155
heaterOn 19-dec-1996 13:14 2450437.051
heaterOff 19-dec-1996 15:49 2450437.159
heaterOn 03-jan-1997 21:50 2450452.41
heaterOff 10-jan-1997 10:00 2450458.917
heaterOn 20-feb-1997 21:57 2450500.415
heaterOff 21-feb-1997 11:00 2450500.958
heaterOn 21-mar-1997 14:26 2450529.101
heaterOff 24-mar-1997 12:56 2450532.039
heaterOn 18-jul-1997 13:30 2450648.062
heaterOff 27-jul-1997 20:00 2450657.333
heaterOn 28-nov-1997 23:00 2450781.458
heaterOff 02-dec-1997 03:00 2450784.625
heaterOn 20-mar-1998 16:35 2450893.191
heaterOff 23-mar-1998 16:58 2450896.207
heaterOn 10-apr-1998 22:00 2450914.417
heaterOff 13-apr-1998 22:00 2450917.417
heaterOn 18-jun-1998 21:58 2450983.415
heaterOff 22-jun-1998 07:51 2450986.827
heaterOn 24-jun-1998 23:10 2450989.465
heaterOff 13-oct-1998 20:58 2451100.374
heaterOn 21-dec-1998 17:26 2451169.226
heaterOff 02-feb-1999 20:57 2451212.373
heaterOn 04-feb-1999 17:25 2451214.226
heaterOff 05-feb-1999 10:45 2451214.948
heaterOn 22-may-1999 15:20 2451321.139
heaterOff 24-may-1999 05:00 2451322.708
heaterOn 31-may-1999 13:30 2451330.062
heaterOff 01-jun-1999 08:00 2451330.833
heaterOn 08-oct-1999 20:23 2451460.349
heaterOff 12-oct-1999 08:00 2451463.833
heaterOn 29-oct-1999 21:41 2451481.403
heaterOff 01-nov-1999 15:00 2451484.125
heaterOn 04-feb-2000 21:00 2451579.375
heaterOff 06-feb-2000 10:00 2451580.917
heaterOn 17-jun-2000 03:49 2451712.659
heaterOff 20-jun-2000 08:00 2451715.833
heaterOn 08-sep-2000 21:42 2451796.404
heaterOff 11-sep-2000 03:19 2451798.638
heaterOn 16-feb-2001 22:31 2451957.438
heaterOff 18-feb-2001 10:59 2451958.958
heaterOn 10-may-2001 22:49 2452040.451
heaterOff 14-may-2001 11:00 2452043.958
heaterOn 15-jun-2001 21:00 2452076.375
heaterOff 18-jun-2001 13:00 2452079.042
heaterOn 31-aug-2001 16:00 2452153.167
heaterOff 04-sep-2001 10:00 2452156.917
heaterOn 03-oct-2001 19:01 2452186.292
heaterOff 05-oct-2001 19:21 2452188.306
heaterOn 11-jan-2002 23:06 2452286.462
heaterOff 14-jan-2002 10:00 2452288.917
heaterOn 30-mar-2002 03:30 2452363.646
heaterOff 02-apr-2002 10:00 2452366.917
heaterOn 15-jun-2002 03:36 2452440.65
heaterOff 18-jun-2002 13:00 2452444.042
heaterOn 30-aug-2002 23:46 2452517.49
heaterOff 03-sep-2002 11:00 2452520.958
heaterOn 14-nov-2002 19:04 2452593.294
heaterOff 18-nov-2002 10:00 2452596.917
heaterOn 01-feb-2003 01:44 2452671.572
heaterOff 03-feb-2003 10:00 2452673.917
heaterOn 19-apr-2003 02:00 2452748.583
heaterOff 22-apr-2003 12:00 2452752.0
heaterOn 25-jun-2003 00:00 2452815.5
heaterOff 03-jul-2003 01:00 2452823.542
heaterOn 26-sep-2003 00:00 2452908.5
heaterOff 06-oct-2003 00:00 2452918.5
heaterOn 26-dec-2003 22:18 2453000.429
heaterOff 06-jan-2004 10:00 2453010.917
heaterOn 18-mar-2004 03:00 2453082.625
heaterOff 04-apr-2004 10:00 2453099.917
heaterOn 15-jun-2004 20:00 2453172.333
heaterOff 04-jul-2004 10:00 2453190.917
heaterOn 10-sep-2004 22:00 2453259.417
heaterOff 03-oct-2004 10:00 2453281.917
heaterOn 11-dec-2004 18:47 2453351.283
heaterOff 28-dec-2004 10:00 2453367.917
heaterOn 11-mar-2005 22:21 2453441.431
heaterOff 31-mar-2005 10:00 2453460.917
heaterOn 06-jun-2005 21:52 2453528.411
heaterOff 24-jun-2005 10:00 2453545.917
heaterOn 02-sep-2005 21:37 2453616.401
heaterOff 23-sep-2005 10:00 2453636.917
heaterOn 02-dec-2005 19:41 2453707.32
heaterOff 18-dec-2005 10:00 2453722.917
heaterOn 28-feb-2006 02:53 2453794.62
heaterOff 18-mar-2006 10:00 2453812.917
heaterOn 27-may-2006 01:45 2453882.573
heaterOff 15-jun-2006 08:00 2453901.833
heaterOn 19-aug-2006 00:43 2453966.53
heaterOff 16-sep-2006 13:00 2453995.042
heaterOn 25-nov-2006 23:05 2454065.462
heaterOff 12-dec-2006 10:00 2454081.917
heaterOn 13-feb-2007 22:49 2454145.451
heaterOff 12-mar-2007 12:00 2454172.0
heaterOn 18-may-2007 17:36 2454239.233
heaterOff 27-may-2007 23:07 2454248.463
heaterOn 26-aug-2007 19:37 2454339.317
heaterOff 01-sep-2007 09:43 2454344.905
heaterOn 19-nov-2007 11:00 2454423.958
heaterOff 24-nov-2007 11:00 2454428.958
heaterOn 23-feb-2008 02:00 2454519.583
heaterOff 28-feb-2008 10:00 2454524.917
heaterOn 16-may-2008 18:00 2454603.25
heaterOff 22-may-2008 05:00 2454608.708
heaterOn 08-aug-2008 10:00 2454686.917
heaterOff 20-aug-2008 15:00 2454699.125
heaterOn 12-nov-2008 10:00 2454782.917
heaterOff 19-nov-2008 08:00 2454789.833
heaterOn 07-feb-2009 20:00 2454870.333
heaterOff 14-feb-2009 20:00 2454877.333
heaterOn 02-may-2009 17:00 2454954.208
heaterOff 08-may-2009 05:00 2454959.708
heaterOn 04-aug-2009 18:00 2455048.25
heaterOff 12-aug-2009 02:00 2455055.583
heaterOn 01-nov-2009 16:00 2455137.167
heaterOff 06-nov-2009 11:00 2455141.958
heaterOn 26-apr-2010 01:10 2455312.549
heaterOff 01-may-2010 10:00 2455317.917
heaterOn 20-jul-2010 23:30 2455398.479
heaterOff 28-jul-2010 07:00 2455405.792
heaterOn 09-feb-2011 17:00 2455602.208
heaterOff 16-feb-2011 10:00 2455608.917
heaterOn 18-jul-2011 15:30 2455761.146
heaterOff 22-jul-2011 19:00 2455765.292
heaterOn 06-jan-2012 02:35 2455932.608
heaterOff 12-jan-2012 19:00 2455939.292
heaterOn 02-jul-2012 14:15 2456111.094
heaterOff 09-jul-2012 03:00 2456117.625
heaterOn 21-jun-2013 17:50 2456465.243
heaterOff 01-jul-2013 11:00 2456474.958
heaterOn 18-dec-2013 13:45 2456645.073
heaterOff 30-dec-2013 04:00 2456656.667
heaterOn 13-jun-2014 03:05 2456821.628
heaterOff 24-jun-2014 20:00 2456833.333
heaterOn 11-dec-2014 13:20 2457003.056
heaterOff 18-dec-2014 17:00 2457010.208
heaterOn 04-jun-2015 03:00 2457177.625
heaterOff 11-jun-2015 23:20 2457185.472
heaterOn 02-dec-2015 18:08 2457359.256
heaterOff 11-dec-2015 01:00 2457367.542
heaterOn 26-may-2016 16:10 2457535.174
heaterOff 03-jun-2016 02:00 2457542.583
heaterOn 13-may-2017 03:23 2457886.641
heaterOff 24-may-2017 14:00 2457898.083
heaterOn 04-may-2018 04:53 2458242.703
