# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s]
2458484.541894 145788312975.000000 171.000000 70551016.187197 95521.992012
2458484.546016 145788336619.000000 284.000000 1511338.851709 94312.592780
2458484.551317 145788336619.000000 195.000000 31166548.152459 96412.491459
2458484.555371 145788362832.000000 304.000000 10939506.612479 95395.609020
2458485.046035 145790279354.000000 284.000000 1500037.780562 94321.976666
2458485.051335 145790279354.000000 195.000000 31215934.491972 96262.291892
2458485.055398 145790301585.000000 304.000000 10960447.448090 95378.747546
2458485.541463 145792314601.000000 171.000000 71641592.582122 95567.549956
2458485.545565 145792346279.000000 284.000000 1546978.045446 94367.966883
2458485.550865 145792346279.000000 195.000000 31763057.838639 95856.634859
2458486.041066 145794518611.000000 171.000000 73153651.024323 95545.599255
2458486.045174 145794545793.000000 284.000000 1607053.577327 94429.327676
2458486.050471 145794545793.000000 195.000000 32410741.991196 95855.750135
2458486.054526 145794575184.000000 304.000000 11103784.991381 95329.834849
2458486.541126 145796847093.000000 171.000000 73704818.507477 95615.334515
2458486.545228 145796884949.000000 284.000000 1660938.147147 94440.364366
2458486.550552 145796884949.000000 195.000000 32863093.428396 95719.804464
2458487.040855 145799305774.000000 171.000000 74314739.610822 95602.121749
2458487.044971 145799339042.000000 284.000000 1678495.946885 94445.186512
2458487.050287 145799339042.000000 195.000000 32705327.232335 95725.529426
2458487.054341 145799374074.000000 304.000000 10976504.039186 95333.022583
2458487.540418 145801900236.000000 171.000000 74563479.588767 95515.113997
2458487.544529 145801943576.000000 284.000000 1635631.241227 94384.282375
2458487.549831 145801943576.000000 195.000000 32731366.082421 95682.395868
2458487.553887 145801973555.000000 304.000000 10963653.073709 95306.725069
2458488.039705 145804620066.000000 171.000000 73981467.860042 95514.584930
2458488.043818 145804657370.000000 284.000000 1668050.492658 94452.186939
2458488.049121 145804657370.000000 195.000000 32378023.435056 95673.421074
2458488.053193 145804696880.000000 304.000000 11021519.030600 95294.750445
2458488.541917 145807483135.000000 171.000000 73486799.010631 95582.524823
2458488.546032 145807514364.000000 284.000000 1641029.251364 94402.943307
2458488.551331 145807514364.000000 195.000000 32486481.967710 95610.055412
2458488.555390 145807563299.000000 304.000000 10998200.868128 95306.782352
2458489.041548 145810462190.000000 171.000000 73543908.657906 95574.580559
2458489.045649 145810502798.000000 284.000000 1640928.435857 94508.258189
2458489.050964 145810502798.000000 195.000000 32120440.981371 95556.847683
2458489.055017 145810544585.000000 304.000000 10905262.513913 95315.645293
2458489.541465 145813574686.000000 171.000000 72976724.251958 95634.557244
2458489.545567 145813622492.000000 284.000000 1641392.055254 94455.110764
2458489.550881 145813622492.000000 195.000000 31846890.640124 95450.976461
2458489.554941 145813658135.000000 304.000000 10907350.458744 95267.520589
2458490.040719 145816820494.000000 171.000000 72971279.831319 95480.064221
2458490.044819 145816862124.000000 284.000000 1732570.951549 94454.582180
2458490.050126 145816862124.000000 195.000000 31876024.660866 95401.190654
2458490.540804 145820185305.000000 171.000000 74440647.054013 95504.563776
2458490.544909 145820235044.000000 284.000000 1672956.659754 94442.738631
2458490.550206 145820235044.000000 195.000000 31987782.486810 95344.570046
2458490.554259 145820270508.000000 304.000000 10993472.664038 95183.579199
2458491.040024 145823669459.000000 171.000000 74679299.856104 95461.596008
2458491.044126 145823726087.000000 284.000000 1613487.539494 94424.691215
2458491.049424 145823726087.000000 195.000000 31677984.819339 95322.232549
2458491.053495 145823768445.000000 304.000000 10893634.794698 95183.272438
2458491.541899 145827303018.000000 171.000000 74769054.766365 95483.134923
2458491.546003 145827349967.000000 284.000000 1555107.046310 94394.199486
2458491.551299 145827349967.000000 195.000000 31319566.135812 95249.598339
2458491.555356 145827399118.000000 304.000000 10957649.198753 95125.158401
2458492.041675 145831050294.000000 171.000000 75280818.765624 95526.096512
2458492.045780 145831103956.000000 284.000000 1475538.472413 94361.395284
2458492.051055 145831103956.000000 195.000000 31059379.207842 95149.776136
2458492.055108 145831159820.000000 304.000000 10932424.892946 95128.256085
2458492.546042 145834986892.000000 284.000000 1431538.573774 94310.193047
2458492.551339 145834986892.000000 195.000000 30202542.413796 94982.880880
2458492.555392 145835032968.000000 304.000000 10877405.634218 94889.034884
2458493.041138 145838927381.000000 171.000000 71864452.988839 95282.656538
2458493.045242 145838993028.000000 284.000000 1407964.986098 94300.118947
2458493.054602 145839044441.000000 304.000000 10713468.656512 100556.128654
2458493.540402 145843065038.000000 171.000000 72490212.409243 95223.400144
2458493.544510 145843119515.000000 284.000000 1403157.483415 94299.312078
2458493.549812 145843119515.000000 195.000000 29788346.407465 94947.320199
2458493.553865 145843176191.000000 304.000000 10802795.591689 94826.183152
2458494.040384 145847316804.000000 171.000000 72827206.327009 95145.456117
2458494.044501 145847376491.000000 284.000000 1383289.586808 94292.084632
2458494.049815 145847376491.000000 195.000000 29885715.609360 94941.109377
2458494.053868 145847437013.000000 304.000000 10655197.051598 94756.451842
2458494.544065 145851758080.000000 284.000000 1374901.710588 94283.040671
2458494.549380 145851758080.000000 195.000000 29375553.674820 94897.997010
2458494.553435 145851822353.000000 304.000000 10710891.228758 94753.403985
2458495.039700 145856206762.000000 171.000000 71727671.842308 95178.789878
2458495.043809 145856272517.000000 284.000000 1355197.725381 94291.433313
2458495.049110 145856272517.000000 195.000000 29142445.450629 94879.308343
2458495.053163 145856340469.000000 304.000000 10589337.122899 94737.737561
2458495.541353 145860845656.000000 171.000000 73027687.874361 95178.950002
2458495.545461 145860915043.000000 284.000000 1368822.908235 94278.492628
2458495.550757 145860915043.000000 195.000000 29194060.878970 94773.627943
2458495.554814 145860985163.000000 304.000000 10687612.363877 94723.127744
2458496.041183 145865619181.000000 171.000000 71875800.865049 95137.257982
2458496.045281 145865690680.000000 284.000000 1421209.285053 94238.626638
2458496.050580 145865690680.000000 195.000000 29589967.213625 94768.961420
2458496.054635 145865748039.000000 304.000000 10661882.158634 94662.917861
2458496.544638 145870576762.000000 284.000000 1397055.649968 94243.098056
2458496.549920 145870576762.000000 195.000000 29741979.567389 94710.755081
2458496.553974 145870650973.000000 304.000000 10761677.737654 94655.597149
2458497.040069 145875535078.000000 171.000000 71134228.507058 94948.663501
2458497.044174 145875609066.000000 284.000000 1357101.307409 94230.685220
