# t_obs[JD] wavelength[angstrom] pinholes[1ifYes]
2450098.509462 284.000000 1.000000
2450098.520198 195.000000 1.000000
2450098.536640 171.000000 1.000000
2450099.079850 171.000000 1.000000
2450102.242673 171.000000 1.000000
2450102.278505 171.000000 1.000000
2450102.401939 304.000000 1.000000
2450103.187493 171.000000 1.000000
2450103.212478 171.000000 1.000000
2450103.238993 284.000000 1.000000
2450103.261090 195.000000 1.000000
2450103.287879 304.000000 1.000000
2450104.325521 171.000000 1.000000
2450104.330839 304.000000 1.000000
2450104.337477 195.000000 1.000000
2450104.376537 284.000000 1.000000
2450105.415743 304.000000 1.000000
2450105.427692 195.000000 1.000000
2450105.474506 284.000000 1.000000
2450105.530558 171.000000 1.000000
2450106.219240 171.000000 1.000000
2450106.403591 304.000000 1.000000
2450106.928720 304.000000 1.000000
2450107.187502 171.000000 1.000000
2450107.701256 171.000000 1.000000
2450107.738274 171.000000 1.000000
2450107.755351 171.000000 1.000000
2450107.800420 171.000000 1.000000
2450107.815503 171.000000 1.000000
2450107.845604 171.000000 1.000000
2450107.875608 171.000000 1.000000
2450107.965912 171.000000 1.000000
2450107.980939 171.000000 1.000000
2450107.995986 171.000000 1.000000
2450108.026051 171.000000 1.000000
2450108.056086 171.000000 1.000000
2450108.116356 171.000000 1.000000
2450108.131343 171.000000 1.000000
2450108.161351 171.000000 1.000000
2450108.191459 171.000000 1.000000
2450108.221460 171.000000 1.000000
2450108.236494 171.000000 1.000000
2450109.190291 284.000000 1.000000
2450109.195262 171.000000 1.000000
2450109.251403 304.000000 1.000000
2450109.257478 195.000000 1.000000
2450109.279604 171.000000 1.000000
2450109.396580 304.000000 1.000000
2450110.234447 304.000000 1.000000
2450110.300437 171.000000 1.000000
2450110.325028 195.000000 1.000000
2450110.380809 284.000000 1.000000
2450111.246365 171.000000 1.000000
2450111.314549 304.000000 1.000000
2450111.326648 284.000000 1.000000
2450111.395050 195.000000 1.000000
2450112.521876 171.000000 1.000000
2450112.578674 304.000000 1.000000
2450112.584527 284.000000 1.000000
2450112.628163 195.000000 1.000000
2450113.232308 171.000000 1.000000
2450113.271687 284.000000 1.000000
2450113.330962 304.000000 1.000000
2450113.361415 195.000000 1.000000
2450113.588471 284.000000 1.000000
2450113.623928 284.000000 1.000000
2450113.671502 284.000000 1.000000
2450113.720106 284.000000 1.000000
2450113.768531 284.000000 1.000000
2450113.816792 284.000000 1.000000
2450113.864953 284.000000 1.000000
2450113.913244 284.000000 1.000000
2450113.961574 284.000000 1.000000
2450114.010158 284.000000 1.000000
2450114.058613 284.000000 1.000000
2450114.126444 195.000000 1.000000
2450114.178565 284.000000 1.000000
2450114.235723 304.000000 1.000000
2450114.342722 171.000000 1.000000
2450114.372936 284.000000 1.000000
2450114.538035 304.000000 1.000000
2450114.577113 304.000000 1.000000
2450114.629080 304.000000 1.000000
2450114.681136 304.000000 1.000000
2450114.733126 304.000000 1.000000
2450114.785112 304.000000 1.000000
2450114.837152 304.000000 1.000000
2450114.889097 304.000000 1.000000
2450114.941064 304.000000 1.000000
2450114.992160 304.000000 1.000000
2450115.043755 304.000000 1.000000
2450115.095720 304.000000 1.000000
2450115.147861 304.000000 1.000000
2450115.199801 304.000000 1.000000
2450115.297180 195.000000 1.000000
2450115.341809 304.000000 1.000000
2450115.375308 284.000000 1.000000
2450115.605754 284.000000 1.000000
2450115.639709 284.000000 1.000000
2450115.688001 284.000000 1.000000
2450115.734926 284.000000 1.000000
2450115.829516 284.000000 1.000000
2450115.877765 284.000000 1.000000
2450115.921516 284.000000 1.000000
2450115.969826 284.000000 1.000000
2450116.018334 284.000000 1.000000
2450116.065774 284.000000 1.000000
2450116.114042 284.000000 1.000000
2450116.162324 284.000000 1.000000
2450116.335951 171.000000 1.000000
2450116.340899 304.000000 1.000000
2450116.347202 195.000000 1.000000
2450116.352478 284.000000 1.000000
2450116.489343 284.000000 1.000000
2450116.535408 284.000000 1.000000
2450116.581074 284.000000 1.000000
2450116.627157 284.000000 1.000000
2450116.673323 284.000000 1.000000
2450116.765471 284.000000 1.000000
2450116.806985 284.000000 1.000000
2450116.853057 284.000000 1.000000
2450116.899135 284.000000 1.000000
2450116.945205 284.000000 1.000000
2450116.991242 284.000000 1.000000
2450117.037270 284.000000 1.000000
2450117.083291 284.000000 1.000000
2450117.129747 284.000000 1.000000
2450117.188829 195.000000 1.000000
2450118.209329 195.000000 1.000000
2450118.218703 284.000000 1.000000
2450118.226036 171.000000 1.000000
2450118.231959 304.000000 1.000000
2450118.256911 304.000000 1.000000
2450119.167140 195.000000 1.000000
2450119.172138 284.000000 1.000000
2450119.180485 171.000000 1.000000
2450119.201309 304.000000 1.000000
2450119.297466 304.000000 1.000000
2450120.241879 304.000000 1.000000
2450120.248092 195.000000 1.000000
2450120.262575 171.000000 1.000000
2450121.294499 304.000000 1.000000
2450121.301161 284.000000 1.000000
2450121.313375 171.000000 1.000000
2450121.318423 195.000000 1.000000
2450122.133145 171.000000 1.000000
2450122.138256 284.000000 1.000000
2450122.168741 195.000000 1.000000
2450122.286237 304.000000 1.000000
2450123.340665 195.000000 1.000000
2450123.352201 284.000000 1.000000
2450123.364481 171.000000 1.000000
2450124.324566 284.000000 1.000000
2450126.127594 195.000000 1.000000
2450126.133109 284.000000 1.000000
2450126.141355 171.000000 1.000000
2450126.146501 304.000000 1.000000
2450127.157759 171.000000 1.000000
2450127.178323 304.000000 1.000000
2450129.169816 304.000000 1.000000
2450129.176044 195.000000 1.000000
2450129.180153 284.000000 1.000000
2450129.187474 171.000000 1.000000
2450129.296164 171.000000 1.000000
2450130.151550 304.000000 1.000000
2450130.266104 304.000000 1.000000
2450130.316773 284.000000 1.000000
2450130.331933 304.000000 1.000000
2450131.075782 195.000000 1.000000
2450131.138750 195.000000 1.000000
2450131.157097 195.000000 1.000000
2450131.175514 195.000000 1.000000
2450131.219440 195.000000 1.000000
2450131.253369 284.000000 1.000000
2450131.273965 304.000000 1.000000
2450131.409379 195.000000 1.000000
2450131.444534 195.000000 1.000000
2450132.184438 304.000000 1.000000
2450132.190726 284.000000 1.000000
2450134.241702 171.000000 1.000000
2450134.290441 171.000000 1.000000
2450134.333466 304.000000 1.000000
2450134.364090 284.000000 1.000000
2450135.319314 195.000000 1.000000
2450135.324599 284.000000 1.000000
2450136.214122 304.000000 1.000000
2450136.235633 284.000000 0.000000
2450136.285200 284.000000 0.000000
2450136.289041 304.000000 1.000000
2450136.601868 195.000000 1.000000
2450136.608003 171.000000 1.000000
2450136.638595 171.000000 1.000000
2450136.643740 171.000000 1.000000
2450136.654425 171.000000 1.000000
2450136.666993 284.000000 1.000000
2450136.671508 304.000000 1.000000
2450136.677251 195.000000 1.000000
2450136.681664 171.000000 1.000000
2450136.770964 284.000000 1.000000
2450136.775501 304.000000 1.000000
2450136.781220 195.000000 1.000000
2450136.785586 171.000000 1.000000
2450136.875134 284.000000 1.000000
2450136.879653 304.000000 1.000000
2450136.885198 195.000000 1.000000
2450136.889577 171.000000 1.000000
2450137.235430 284.000000 1.000000
2450137.239969 304.000000 1.000000
2450137.245561 195.000000 1.000000
2450137.250824 171.000000 1.000000
2450137.530653 284.000000 1.000000
2450137.535183 171.000000 1.000000
2450137.539647 304.000000 1.000000
2450137.545355 195.000000 1.000000
2450138.498534 284.000000 1.000000
2450138.503066 171.000000 1.000000
2450138.507587 304.000000 1.000000
2450138.513129 195.000000 1.000000
2450138.578019 284.000000 1.000000
2450138.582550 171.000000 1.000000
2450138.587066 304.000000 1.000000
2450138.592628 195.000000 1.000000
2450138.656748 284.000000 1.000000
2450139.111020 284.000000 1.000000
2450139.115982 171.000000 1.000000
2450139.122484 304.000000 1.000000
2450139.128022 195.000000 1.000000
2450139.401475 195.000000 1.000000
2450139.893312 195.000000 1.000000
2450140.139415 304.000000 1.000000
2450140.352817 284.000000 1.000000
2450140.358787 171.000000 0.000000
2450140.392591 304.000000 1.000000
2450140.398620 195.000000 1.000000
2450140.698479 195.000000 1.000000
2450140.762524 195.000000 1.000000
2450140.826853 195.000000 1.000000
2450140.890896 195.000000 1.000000
2450140.955247 195.000000 1.000000
2450141.229962 284.000000 1.000000
2450141.235932 171.000000 1.000000
2450141.263520 304.000000 1.000000
2450141.268775 195.000000 1.000000
2450141.333318 195.000000 1.000000
2450142.091705 284.000000 1.000000
2450142.098693 171.000000 1.000000
2450142.103164 304.000000 1.000000
2450142.108875 195.000000 1.000000
2450143.153780 304.000000 1.000000
2450143.158853 195.000000 1.000000
2450143.162970 284.000000 1.000000
2450143.170634 171.000000 1.000000
2450143.184802 304.000000 1.000000
2450143.200901 195.000000 1.000000
2450143.214984 284.000000 1.000000
2450143.227233 171.000000 1.000000
2450143.241354 304.000000 1.000000
2450143.257472 195.000000 1.000000
2450143.271521 284.000000 1.000000
2450143.284067 171.000000 1.000000
2450144.189568 171.000000 1.000000
2450144.218987 284.000000 1.000000
2450144.226292 171.000000 1.000000
2450144.383807 304.000000 1.000000
2450144.406790 284.000000 1.000000
2450144.423564 171.000000 1.000000
2450144.428367 195.000000 1.000000
2450145.157243 284.000000 1.000000
2450145.164546 171.000000 1.000000
2450145.374994 304.000000 1.000000
2450145.439564 195.000000 1.000000
2450145.459694 284.000000 1.000000
2450145.566666 304.000000 1.000000
2450145.581983 195.000000 1.000000
2450145.597281 284.000000 1.000000
2450145.612605 171.000000 1.000000
2450145.907413 304.000000 1.000000
2450145.922737 195.000000 1.000000
2450145.938029 284.000000 1.000000
2450145.953346 171.000000 1.000000
2450146.153347 304.000000 1.000000
2450146.168652 195.000000 1.000000
2450146.183981 284.000000 1.000000
2450146.199306 171.000000 1.000000
2450146.509895 195.000000 1.000000
2450146.525218 284.000000 1.000000
2450146.540540 171.000000 1.000000
2450147.110213 195.000000 1.000000
2450147.124191 284.000000 1.000000
2450147.136598 171.000000 1.000000
2450147.358042 284.000000 1.000000
2450147.370411 171.000000 1.000000
2450147.384430 304.000000 1.000000
2450147.400464 195.000000 1.000000
2450147.468287 195.000000 1.000000
2450147.782763 304.000000 1.000000
2450147.798084 195.000000 1.000000
2450147.813419 284.000000 1.000000
2450147.828712 171.000000 1.000000
2450148.334302 195.000000 1.000000
2450148.344357 304.000000 1.000000
2450148.390086 304.000000 1.000000
2450148.464142 284.000000 1.000000
2450148.479407 171.000000 1.000000
2450148.510054 195.000000 1.000000
2450149.125032 284.000000 1.000000
2450149.140287 171.000000 1.000000
2450149.155675 304.000000 1.000000
2450149.170922 195.000000 1.000000
2450149.763774 304.000000 1.000000
2450149.779062 195.000000 1.000000
2450150.661560 284.000000 1.000000
2450150.676868 171.000000 1.000000
2450150.692248 304.000000 1.000000
2450150.707554 195.000000 1.000000
2450150.990750 284.000000 1.000000
2450151.021408 304.000000 1.000000
2450151.036653 195.000000 1.000000
2450151.310796 195.000000 1.000000
2450151.348219 304.000000 1.000000
2450151.353570 284.000000 1.000000
2450151.362749 171.000000 1.000000
2450151.416265 284.000000 1.000000
2450151.431580 171.000000 1.000000
2450151.446962 304.000000 1.000000
2450151.462216 195.000000 1.000000
2450151.745202 284.000000 1.000000
2450151.760484 171.000000 1.000000
2450151.775838 304.000000 1.000000
2450152.074211 284.000000 1.000000
2450152.312377 284.000000 1.000000
2450152.642506 284.000000 1.000000
2450152.657800 171.000000 1.000000
2450152.673176 304.000000 1.000000
2450152.688464 195.000000 1.000000
2450152.972673 284.000000 1.000000
2450152.987956 171.000000 1.000000
2450153.003325 304.000000 1.000000
2450153.018627 195.000000 1.000000
2450153.225653 171.000000 1.000000
2450153.241023 304.000000 1.000000
2450153.256307 195.000000 1.000000
2450153.540160 284.000000 1.000000
2450153.555456 171.000000 1.000000
2450153.570832 304.000000 1.000000
2450153.586100 195.000000 1.000000
2450153.870053 284.000000 1.000000
2450153.885361 171.000000 1.000000
2450153.900717 304.000000 1.000000
2450153.915993 195.000000 1.000000
2450154.083749 284.000000 1.000000
2450154.099022 171.000000 1.000000
2450154.114402 304.000000 1.000000
2450154.129662 195.000000 1.000000
2450154.820398 171.000000 1.000000
2450154.835779 304.000000 1.000000
2450154.851088 195.000000 1.000000
2450155.343022 284.000000 1.000000
2450155.358299 171.000000 1.000000
2450155.373668 304.000000 1.000000
2450155.388926 195.000000 1.000000
2450155.671823 284.000000 1.000000
2450155.687103 171.000000 1.000000
2450156.000694 284.000000 1.000000
2450156.015975 171.000000 1.000000
2450156.272992 284.000000 1.000000
2450156.318585 195.000000 1.000000
2450156.388767 284.000000 1.000000
2450156.404035 171.000000 1.000000
2450156.419410 304.000000 1.000000
2450156.434656 195.000000 1.000000
2450156.718748 284.000000 1.000000
2450156.734003 171.000000 1.000000
2450156.749369 304.000000 1.000000
2450156.764661 195.000000 1.000000
2450157.048442 284.000000 1.000000
2450157.063744 171.000000 1.000000
2450157.079103 304.000000 1.000000
2450157.094349 195.000000 1.000000
2450158.237268 284.000000 1.000000
2450158.244571 171.000000 1.000000
2450158.434519 304.000000 1.000000
2450158.449785 195.000000 1.000000
