# t_obs[JD] flux_mean[DN/s] flux_stdev[DN/s]
2450083.507481 847.675241 4.413794
2450083.515093 847.584615 4.747214
2450083.566667 847.246263 10.767788
2450083.574404 847.218789 24.872087
2450085.278367 852.026489 7.901906
2450283.237024 857.089527 4.486764
2450283.286865 851.270342 4.462267
2450333.215102 852.909068 37.993104
2450333.220594 853.300751 42.124866
2450343.269398 855.127812 22.490703
2450343.276300 854.999773 17.026643
2450357.315521 852.368554 11.355637
2450357.319971 852.602391 37.112638
2450373.242241 852.547579 28.303475
2450373.246900 853.294348 4.458799
2450379.197080 851.747127 5.695773
2450379.201636 851.844074 6.161206
2450387.068137 851.887561 14.534394
2450387.072659 851.847305 5.447704
2450393.209769 851.882718 16.312358
2450393.213491 851.875874 5.911391
2450403.367292 851.721409 3.930260
2450403.371706 851.762427 4.514983
2450410.057114 852.041757 12.792893
2450410.062777 852.061659 4.515449
2450410.370515 851.811276 6.660921
2450410.375995 851.849577 27.414248
2450420.303540 852.052867 4.830534
2450420.308210 852.198704 28.370342
2450427.303000 852.337396 6.017107
2450427.307577 852.465029 4.208783
2450436.152869 851.866984 5.328055
2450436.159814 851.954077 8.199471
2450437.011842 852.127059 10.718521
2450437.444537 853.594393 9.243874
2450437.451481 853.915453 38.918888
2450452.329091 852.297197 29.040726
2450452.333994 853.114824 11.140525
2450452.339231 859.434677 50.064139
2450459.230304 852.539599 8.513107
2450459.235123 852.548858 7.492463
2450459.240857 858.926880 26.751940
2450465.409337 852.764106 4.421132
2450465.413856 852.872855 6.681755
2450476.252490 851.374365 7.738730
2450476.256931 851.406811 24.200037
2450484.315280 852.190605 9.038447
2450484.319858 852.210724 6.039107
2450491.373765 851.320267 4.160589
2450491.378307 851.344023 7.638390
2450500.293681 853.744251 55.235073
2450500.301703 852.297620 14.323358
2450500.307403 851.815870 5.138721
2450500.314191 850.938335 27.307567
2450501.240352 850.620352 5.588751
2450501.245355 850.498693 13.569846
2450501.249897 851.050342 24.370611
2450501.255412 852.208688 62.180323
2450507.249525 851.739403 3.932932
2450507.253925 851.767385 7.470973
2450521.120230 851.002011 11.289951
2450521.125092 850.996422 4.235501
2450529.086975 851.046587 5.163467
2450529.091435 851.090251 5.121076
2450529.096174 852.482138 98.887604
2450532.298638 847.084096 53.425376
2450532.303386 845.491405 65.107526
2450532.308074 798.539905 205.092019
2450550.134317 850.793669 5.702382
2450550.139110 850.797639 6.016099
2450555.130882 851.200713 16.163048
2450555.135643 850.303595 27.128545
2450564.268076 851.150737 4.103808
2450564.272782 851.146277 4.639341
2450570.346368 850.726911 5.203870
2450570.351033 850.788337 9.170251
2450578.219478 850.835817 7.802784
2450578.224223 850.795863 4.649399
2450592.201243 853.807698 42.329602
2450592.205987 853.469028 5.774639
2450599.226110 850.377190 7.182465
2450602.203488 849.968740 3.875325
2450602.208001 850.084264 14.216495
2450616.171687 849.967600 21.252072
2450616.177337 849.968901 5.448508
2450627.212437 146.931096 321.501809
2450627.215394 849.801668 5.723757
2450627.223917 849.875579 4.459238
2450638.127804 849.913007 9.110576
2450638.136056 849.867270 6.661619
2450645.149042 848.092401 37.927145
2450645.153551 849.953484 41.381749
2450645.166289 850.435234 47.740077
2450645.178671 851.203609 30.897757
2450648.062591 856.210602 48.257497
2450648.066063 867.752716 29.891216
2450648.069535 878.103607 27.782313
2450648.073008 895.212482 44.033250
2450648.076480 922.576416 101.474323
2450648.079952 981.516434 105.542218
2450648.083425 944.037910 29.348587
2450651.607730 953.051941 36.646062
2450651.611203 909.757317 18.163226
2450651.614676 893.202480 33.638022
2450651.618148 988.261478 133.817055
2450651.628565 902.064823 104.085642
2450651.638980 881.359978 47.846955
2450651.649397 873.512627 39.722884
2450651.659814 869.613441 83.583689
2450651.680648 865.124527 47.968150
2450651.701481 862.488586 56.062016
2450651.722332 860.984905 50.397297
2450651.743147 859.732025 36.645010
2450651.828580 858.353268 52.815281
2450654.385508 953.046448 36.182930
2450654.388980 909.562851 14.718845
2450654.392452 892.918999 9.239971
2450654.395924 987.675793 114.011865
2450654.406341 901.281086 70.389786
2450654.416758 881.391182 80.220131
2450654.427175 872.861309 28.251036
2450654.437592 869.087894 48.151898
2450654.458426 865.012901 77.248920
2450654.479258 862.265690 47.328145
2450654.500099 860.849064 59.575096
2450654.520926 860.179592 81.359983
2450654.607271 858.229988 37.145245
2450657.343842 952.398624 34.747167
2450657.347313 909.338753 14.449353
2450657.350785 892.897781 8.394577
2450657.354258 987.070900 115.000688
2450657.364674 894.223896 104.852581
2450657.375091 880.898254 37.578887
2450657.385508 873.069416 30.279934
2450657.395924 869.295982 62.257651
2450657.416758 864.685230 27.531417
2450657.437591 862.791885 88.957034
2450657.458439 860.702293 43.589897
2450657.479258 860.216354 90.214391
2450657.710884 849.671492 17.235973
