# wavelength effectivearea_Al+1[cm^2] effectivearea_Al+2[cm^2] effectivearea_clear[cm^2]
1.500000000000000000e+02 2.300000000000000135e-11 6.709999999999999934e-14 1.470000000000000094e-09
1.550000000000000000e+02 5.720000000000000022e-11 2.440000000000000205e-13 2.810000000000000016e-09
1.600000000000000000e+02 1.400000000000000077e-10 8.559999999999999876e-13 5.319999999999999827e-09
1.650000000000000000e+02 3.080000000000000221e-10 2.609999999999999986e-12 9.370000000000000524e-09
1.700000000000000000e+02 2.989999999999999808e-09 3.289999999999999754e-11 7.379999999999999910e-08
1.750000000000000000e+02 1.299999999999999920e-05 6.019999999999999961e-06 2.529999999999999833e-05
1.800000000000000000e+02 1.180000000000000052e-05 5.409999999999999872e-06 2.309999999999999906e-05
1.850000000000000000e+02 1.139999999999999927e-05 5.090000000000000394e-06 2.229999999999999994e-05
1.900000000000000000e+02 1.090000000000000067e-05 4.879999999999999864e-06 2.169999999999999891e-05
1.950000000000000000e+02 1.160000000000000075e-05 5.010000000000000313e-06 2.290000000000000098e-05
2.000000000000000000e+02 1.200000000000000030e-05 5.110000000000000203e-06 2.440000000000000017e-05
2.050000000000000000e+02 1.299999999999999920e-05 5.339999999999999695e-06 2.680000000000000090e-05
2.100000000000000000e+02 1.469999999999999986e-05 5.789999999999999622e-06 3.049999999999999936e-05
2.150000000000000000e+02 1.529999999999999920e-05 5.929999999999999975e-06 3.309999999999999818e-05
2.200000000000000000e+02 1.800000000000000046e-05 6.579999999999999681e-06 3.889999999999999686e-05
2.250000000000000000e+02 1.970000000000000112e-05 6.890000000000000101e-06 4.369999999999999834e-05
2.300000000000000000e+02 2.080000000000000075e-05 7.220000000000000330e-06 4.819999999999999930e-05
2.350000000000000000e+02 2.460000000000000164e-05 7.859999999999999284e-06 5.690000000000000071e-05
2.400000000000000000e+02 2.739999999999999855e-05 8.490000000000000029e-06 6.490000000000000543e-05
2.450000000000000000e+02 2.890000000000000113e-05 8.770000000000000736e-06 7.179999999999999696e-05
2.500000000000000000e+02 3.410000000000000216e-05 9.660000000000000685e-06 8.590000000000000088e-05
2.550000000000000000e+02 4.300000000000000165e-05 1.139999999999999927e-05 1.090000000000000067e-04
2.600000000000000000e+02 5.369999999999999746e-05 1.399999999999999979e-05 1.410000000000000120e-04
2.650000000000000000e+02 7.109999999999999350e-05 1.800000000000000046e-05 1.939999999999999993e-04
2.700000000000000000e+02 1.050000000000000044e-04 2.529999999999999833e-05 2.860000000000000129e-04
2.750000000000000000e+02 1.640000000000000019e-04 3.809999999999999775e-05 4.400000000000000157e-04
2.800000000000000000e+02 2.320000000000000014e-04 5.149999999999999820e-05 6.380000000000000037e-04
2.850000000000000000e+02 3.289999999999999739e-04 7.160000000000000565e-05 9.430000000000000448e-04
2.900000000000000000e+02 5.140000000000000254e-04 1.119999999999999983e-04 1.500000000000000031e-03
2.950000000000000000e+02 8.540000000000000499e-04 1.740000000000000010e-04 2.459999999999999947e-03
3.000000000000000000e+02 1.379999999999999933e-03 2.610000000000000015e-04 3.930000000000000333e-03
3.050000000000000000e+02 1.520000000000000084e-03 2.759999999999999867e-04 4.440000000000000370e-03
3.100000000000000000e+02 1.119999999999999902e-03 2.110000000000000059e-04 3.429999999999999889e-03
3.150000000000000000e+02 6.099999999999999737e-04 1.119999999999999983e-04 1.910000000000000022e-03
3.200000000000000000e+02 2.840000000000000185e-04 4.869999999999999790e-05 8.800000000000000313e-04
3.250000000000000000e+02 1.090000000000000067e-04 1.709999999999999891e-05 3.310000000000000225e-04
