# date[JD] transmitted_flux_171[arb.units] transmitted_flux_171_unc[arb.units] transmitted_flux_195[arb.units] transmitted_flux_195_unc[arb.units] transmitted_flux_284[arb.units] transmitted_flux_284_unc[arb.units] transmitted_flux_304[arb.units] transmitted_flux_304_unc[arb.units] transmitted_flux_sumEITBands[arb.units] transmitted_flux_sumEITBands_unc[arb.units]
2.452696000000000000e+06 1.229996603114486130e-14 3.689989809343457759e-15 1.091048261394568589e-14 3.273144784183705372e-15 2.405762148542005064e-16 7.217286445626015439e-17 2.369366283839870743e-15 7.108098851519611637e-16 2.582039114378461351e-14 7.746117343135384683e-15
2.452697000000000000e+06 1.303872966217910876e-14 3.911618898653731998e-15 1.217079640889789696e-14 3.651238922669367984e-15 2.908977023667525906e-16 8.726931071002579443e-17 2.506975154842644385e-15 7.520925464527933551e-16 2.800739892828640014e-14 8.402219678485920672e-15
2.452698000000000000e+06 1.321092334308808348e-14 3.963277002926425201e-15 1.246405501384374384e-14 3.739216504153121416e-15 3.032632395966568783e-16 9.097897187899706104e-17 2.539581317682446469e-15 7.618743953047337040e-16 2.851782291421093032e-14 8.555346874263279095e-15
2.452699000000000000e+06 1.362174331746407541e-14 4.086522995239222308e-15 1.316529384650239022e-14 3.949588153950716277e-15 3.307539136431712589e-16 9.922617409295134809e-17 2.615691788865807131e-15 7.847075366597420800e-16 2.973348286647544126e-14 8.920044859942632063e-15
2.452700000000000000e+06 1.409594984700876551e-14 4.228784954102629653e-15 1.397341303562480727e-14 4.192023910687441707e-15 3.643098592058494599e-16 1.092929577617548158e-16 2.705048690972766357e-15 8.115146072918300649e-16 3.113872143281219308e-14 9.341616429843659186e-15
2.452701000000000000e+06 1.411921634190926719e-14 4.235764902572779843e-15 1.401361969797565351e-14 4.204085909392695423e-15 3.650797455807802092e-16 1.095239236742340381e-16 2.708719521493015161e-15 8.126158564479043314e-16 3.120663530695870952e-14 9.361990592087613488e-15
2.452702000000000000e+06 1.391725806602360502e-14 4.175177419807081507e-15 1.366925968033080491e-14 4.100777904099240685e-15 3.511608196332463092e-16 1.053482458899738878e-16 2.670963389167917898e-15 8.012890167503754878e-16 3.060864195515556729e-14 9.182592586546671764e-15
2.452703000000000000e+06 1.379742803204507714e-14 4.139228409613522352e-15 1.346500160311432562e-14 4.039500480934298633e-15 3.427491901157813083e-16 1.028247570347343802e-16 2.648438316100514218e-15 7.945314948301541469e-16 3.025361714137569695e-14 9.076085142412709401e-15
2.452704000000000000e+06 1.371014159320494353e-14 4.113042477961483059e-15 1.331550739377897641e-14 3.994652218133693870e-15 3.376356384386852598e-16 1.012906915316055829e-16 2.632861592887160764e-15 7.898584778661481700e-16 2.999614621830976888e-14 8.998843865492929401e-15
2.452705000000000000e+06 1.392002969963926176e-14 4.176008909891778528e-15 1.367375359514772872e-14 4.102126078544318301e-15 3.516666173834134784e-16 1.054999852150240238e-16 2.671738541214843595e-15 8.015215623644530587e-16 3.061718845338524780e-14 9.185156536015573393e-15
2.452706000000000000e+06 1.398752361849851202e-14 4.196257085549554236e-15 1.378903154993747613e-14 4.136709464981242682e-15 3.560828789781190832e-16 1.068248636934357176e-16 2.684162514544164769e-15 8.052487543632492729e-16 3.081680056195827151e-14 9.245040168587481452e-15
2.452707000000000000e+06 1.380681873458098629e-14 4.142045620374295099e-15 1.348021166533138971e-14 4.044063499599417070e-15 3.444802972576265044e-16 1.033440891772879489e-16 2.651076698122989767e-15 7.953230094368968118e-16 3.028258739529298626e-14 9.084776218587897139e-15
2.452708000000000000e+06 1.384972215974969775e-14 4.154916647924909167e-15 1.355368298735767809e-14 4.066104896207303742e-15 3.469396839049733823e-16 1.040819051714920098e-16 2.658692739111971901e-15 7.976078217335917083e-16 3.040903757012431939e-14 9.122711271037296134e-15
2.452709000000000000e+06 1.362341013864392385e-14 4.087023041593177313e-15 1.316734689223376402e-14 3.950204067670127944e-15 3.319949894572189646e-16 9.959849683716566965e-17 2.616922871734064386e-15 7.850768615202192763e-16 2.973967489206897531e-14 8.921902467620689439e-15
2.452710000000000000e+06 1.345645098856927472e-14 4.036935296570781944e-15 1.288295313201837897e-14 3.864885939605514639e-15 3.200194445395012365e-16 9.600583336185037589e-17 2.585331062408677469e-15 7.755993187226029055e-16 2.924475462753583295e-14 8.773426388260749568e-15
2.452711000000000000e+06 1.334451016047667901e-14 4.003353048143004965e-15 1.269199458145814917e-14 3.807598374437444436e-15 3.123773807345726692e-16 9.371321422037178597e-17 2.564465475704389742e-15 7.693396427113168635e-16 2.891334759837379478e-14 8.674004279512137804e-15
2.452712000000000000e+06 1.329966211165724536e-14 3.989898633497174082e-15 1.261566694261105851e-14 3.784700082783318341e-15 3.090618328587140379e-16 9.271854985761420151e-17 2.555898664881609552e-15 7.667695994644828656e-16 2.878028955200862741e-14 8.634086865602589169e-15
2.452713000000000000e+06 1.316929351029212626e-14 3.950788053087637877e-15 1.239292002317282481e-14 3.717876006951847287e-15 3.006593845959235543e-16 9.019781537877705148e-17 2.532005767976250190e-15 7.596017303928749584e-16 2.839487868603712555e-14 8.518463605811137666e-15
2.452714000000000000e+06 1.292998014363440081e-14 3.878994043090320401e-15 1.198448708390340657e-14 3.595346125171022130e-15 2.844108205926768395e-16 8.532324617780304937e-17 2.487479613120869439e-15 7.462438839362607725e-16 2.768635766125135677e-14 8.305907298375407031e-15
2.452715000000000000e+06 1.278261604584877820e-14 3.834784813754632670e-15 1.173307372621170976e-14 3.519922117863512455e-15 2.749076664460844832e-16 8.247229993382533511e-17 2.460469068992076063e-15 7.381407206976227007e-16 2.725106650749865097e-14 8.175319952249594344e-15
