#t_obs[JD] flux[W/m^2] flux_unc[W/m^2]
2450135.000000 1360.481000 0.131000
2450136.000000 1360.406000 0.131000
2450137.000000 1360.412000 0.136000
2450138.000000 1360.411000 0.131000
2450139.000000 1360.444000 0.136000
2450140.000000 1360.466000 0.131000
2450141.000000 1360.456000 0.135000
2450142.000000 1360.423000 0.133000
2450143.000000 1360.401000 0.133000
2450144.000000 1360.383000 0.135000
2450145.000000 1360.365000 0.131000
2450146.000000 1360.373000 0.137000
2450147.000000 1360.371000 0.131000
2450148.000000 1360.401000 0.136000
2450149.000000 1360.422000 0.131000
2450150.000000 1360.428000 0.135000
2450151.000000 1360.417000 0.134000
2450152.000000 1360.398000 0.133000
2450153.000000 1360.371000 0.136000
2450154.000000 1360.342000 0.131000
2450155.000000 1360.346000 0.136000
2450156.000000 1360.343000 0.131000
2450157.000000 1360.393000 0.136000
2450158.000000 1360.441000 0.132000
2450159.000000 1360.461000 0.135000
2450160.000000 1360.461000 0.134000
2450161.000000 1360.451000 0.132000
2450162.000000 1360.431000 0.135000
2450163.000000 1360.393000 0.131000
2450164.000000 1360.331000 0.137000
2450165.000000 1360.258000 0.131000
2450166.000000 1360.315000 0.136000
2450167.000000 1360.391000 0.132000
2450168.000000 1360.447000 0.134000
2450169.000000 1360.488000 0.134000
2450170.000000 1360.497000 0.132000
2450171.000000 1360.467000 0.136000
2450172.000000 1360.431000 0.131000
2450173.000000 1360.426000 0.136000
2450174.000000 1360.414000 0.131000
2450175.000000 1360.468000 0.136000
2450176.000000 1360.529000 0.132000
2450177.000000 1360.532000 0.134000
2450178.000000 1360.493000 0.135000
2450179.000000 1360.458000 0.132000
2450180.000000 1360.451000 0.137000
2450181.000000 1360.432000 0.131000
2450182.000000 1360.451000 0.136000
2450183.000000 1360.462000 0.131000
2450184.000000 1360.509000 0.136000
2450185.000000 1360.561000 0.133000
2450186.000000 1360.559000 0.134000
2450187.000000 1360.509000 0.135000
2450188.000000 1360.461000 0.131000
2450189.000000 1360.421000 0.136000
2450190.000000 1360.378000 0.131000
2450191.000000 1360.407000 0.136000
2450192.000000 1360.431000 0.131000
2450193.000000 1360.428000 0.136000
2450194.000000 1360.405000 0.134000
2450195.000000 1360.382000 0.133000
2450196.000000 1360.361000 0.136000
2450197.000000 1360.343000 0.132000
2450198.000000 1360.372000 0.137000
2450199.000000 1360.388000 0.131000
2450200.000000 1360.421000 0.137000
2450201.000000 1360.441000 0.132000
2450202.000000 1360.478000 0.136000
2450203.000000 1360.514000 0.135000
2450204.000000 1360.522000 0.134000
2450205.000000 1360.501000 0.137000
2450206.000000 1360.484000 0.132000
2450207.000000 1360.529000 0.138000
2450208.000000 1360.571000 0.132000
2450209.000000 1360.649000 0.137000
2450210.000000 1360.725000 0.133000
2450211.000000 1360.746000 0.135000
2450212.000000 1360.731000 0.134000
2450213.000000 1360.702000 0.132000
2450214.000000 1360.654000 0.136000
2450215.000000 1360.614000 0.131000
2450216.000000 1360.634000 0.137000
2450217.000000 1360.651000 0.131000
2450218.000000 1360.707000 0.137000
2450219.000000 1360.764000 0.132000
2450220.000000 1360.753000 0.135000
2450221.000000 1360.696000 0.135000
2450222.000000 1360.639000 0.132000
2450223.000000 1360.589000 0.136000
2450224.000000 1360.541000 0.131000
2450225.000000 1360.551000 0.136000
2450226.000000 1360.557000 0.131000
2450227.000000 1360.569000 0.136000
2450228.000000 1360.573000 0.132000
2450229.000000 1360.579000 0.134000
2450230.000000 1360.584000 0.135000
2450231.000000 1360.583000 0.132000
2450232.000000 1360.583000 0.137000
2450233.000000 1360.577000 0.131000
2450234.000000 1360.619000 0.136000
2450235.000000 1360.659000 0.131000
2450236.000000 1360.721000 0.136000
2450237.000000 1360.785000 0.133000
2450238.000000 1360.808000 0.134000
2450239.000000 1360.799000 0.135000
2450240.000000 1360.774000 0.132000
2450241.000000 1360.733000 0.136000
2450242.000000 1360.693000 0.131000
2450243.000000 1360.712000 0.136000
2450244.000000 1360.733000 0.131000
2450245.000000 1360.756000 0.135000
2450246.000000 1360.774000 0.133000
2450247.000000 1360.761000 0.133000
2450248.000000 1360.715000 0.135000
2450249.000000 1360.671000 0.131000
2450250.000000 1360.641000 0.136000
2450251.000000 1360.609000 0.131000
2450252.000000 1360.614000 0.136000
2450253.000000 1360.616000 0.132000
2450254.000000 1360.614000 0.135000
2450255.000000 1360.605000 0.134000
2450256.000000 1360.615000 0.133000
2450257.000000 1360.652000 0.136000
2450258.000000 1360.674000 0.131000
2450259.000000 1360.677000 0.137000
2450260.000000 1360.675000 0.131000
2450261.000000 1360.727000 0.136000
2450262.000000 1360.783000 0.132000
2450263.000000 1360.836000 0.135000
2450264.000000 1360.888000 0.134000
2450265.000000 1360.918000 0.132000
2450266.000000 1360.921000 0.136000
2450267.000000 1360.919000 0.131000
2450268.000000 1360.914000 0.136000
2450269.000000 1360.901000 0.131000
2450270.000000 1360.858000 0.136000
2450271.000000 1360.802000 0.132000
2450272.000000 1360.706000 0.134000
2450273.000000 1360.579000 0.134000
2450274.000000 1360.543000 0.132000
2450275.000000 1360.669000 0.136000
2450276.000000 1360.756000 0.131000
2450277.000000 1360.723000 0.137000
2450278.000000 1360.674000 0.131000
2450279.000000 1360.679000 0.136000
2450280.000000 1360.691000 0.133000
2450281.000000 1360.695000 0.134000
2450282.000000 1360.692000 0.135000
2450283.000000 1360.681000 0.132000
2450284.000000 1360.666000 0.136000
2450285.000000 1360.649000 0.131000
2450286.000000 1360.655000 0.137000
2450287.000000 1360.656000 0.133000
2450288.000000 1360.681000 0.137000
2450289.000000 1360.703000 0.133000
2450290.000000 1360.721000 0.134000
2450291.000000 1360.732000 0.135000
2450292.000000 1360.729000 0.131000
2450293.000000 1360.707000 0.136000
2450294.000000 1360.669000 0.131000
2450295.000000 1360.589000 0.136000
2450296.000000 1360.498000 0.131000
2450297.000000 1360.515000 0.135000
2450298.000000 1360.569000 0.133000
2450299.000000 1360.646000 0.133000
2450300.000000 1360.752000 0.136000
2450301.000000 1360.811000 0.131000
2450302.000000 1360.771000 0.137000
2450303.000000 1360.719000 0.131000
2450304.000000 1360.677000 0.137000
2450305.000000 1360.629000 0.132000
2450306.000000 1360.656000 0.135000
2450307.000000 1360.711000 0.134000
2450308.000000 1360.729000 0.133000
2450309.000000 1360.701000 0.136000
2450310.000000 1360.673000 0.131000
2450311.000000 1360.661000 0.137000
2450312.000000 1360.644000 0.131000
2450313.000000 1360.654000 0.136000
2450314.000000 1360.661000 0.132000
2450315.000000 1360.669000 0.135000
2450316.000000 1360.671000 0.134000
2450317.000000 1360.702000 0.132000
2450318.000000 1360.779000 0.136000
2450319.000000 1360.848000 0.131000
2450320.000000 1360.911000 0.137000
2450321.000000 1360.961000 0.131000
2450322.000000 1360.921000 0.136000
2450323.000000 1360.854000 0.132000
2450324.000000 1360.844000 0.134000
2450325.000000 1360.868000 0.135000
2450326.000000 1360.896000 0.132000
2450327.000000 1360.938000 0.136000
2450328.000000 1360.951000 0.131000
2450329.000000 1360.881000 0.137000
2450330.000000 1360.804000 0.131000
2450331.000000 1360.744000 0.136000
2450332.000000 1360.681000 0.132000
2450333.000000 1360.701000 0.134000
