# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless]
-7.300952570957398358e+00 9.510748410767632111e-01 1.099839815514537435e-03
-7.300952521744940249e+00 9.727156330889581426e-01 1.099988100887128607e-03
-7.300952498277530012e+00 9.333362444639282662e-01 1.099672261111097260e-03
-7.300952497821044496e+00 9.704255148629594707e-01 1.099965300874720161e-03
-7.300448124001458261e+00 9.337437736587662629e-01 1.099464176574220606e-03
-7.300448119330585683e+00 9.352204435581894515e-01 1.099484239714551342e-03
-7.300448110571154281e+00 9.178918272325869987e-01 1.099344739846207664e-03
-7.300448110325802986e+00 9.172034301997403771e-01 1.099340659858704435e-03
-7.299139014248746449e+00 9.717285783087540318e-01 1.087527647541473158e-03
-7.299139013509089224e+00 9.856313061582848700e-01 1.087657191512177331e-03
-7.299138968436462704e+00 9.699286332769644359e-01 1.087532406733726555e-03
-7.297624595068624487e+00 9.174540991232739140e-01 1.097378339290553100e-03
-7.297624594781302321e+00 9.188299039825849057e-01 1.097403491103553924e-03
-7.296347270624205628e+00 9.246429723183838822e-01 1.291227148894730139e-03
-7.296330920108491824e+00 9.851249750671980943e-01 1.291862172757239245e-03
-7.296225121374458666e+00 9.589729785431747588e-01 1.298816052063813059e-03
-7.296214027816646741e+00 9.514278148871989638e-01 1.298715354910989469e-03
-7.296170493619644759e+00 9.312168095452749705e-01 1.291336034835999669e-03
-7.295948071418357550e+00 9.650158111172909559e-01 1.299009157102598132e-03
-7.295855403792257832e+00 9.202787860775257789e-01 1.291167148825774803e-03
-7.295417119256160987e+00 9.035620459043620656e-01 1.290980687459201276e-03
-7.295417119064595113e+00 9.086761754021164261e-01 1.290948744713539846e-03
-7.294997112557683572e+00 9.887736295600925152e-01 1.087925981695967359e-03
-7.294996922679523266e+00 1.000995431607834218e+00 1.088027771833027053e-03
-7.294996920403803209e+00 9.841960960255762281e-01 1.087896562688314868e-03
-7.294955985590904746e+00 9.512834339436933018e-01 1.298741640688054434e-03
-7.294824028170344477e+00 8.999261970552039358e-01 1.290890140055222677e-03
-7.294270808560902708e+00 9.639724747882099098e-01 1.299688795617624966e-03
-7.294249237468072522e+00 9.766959821358452976e-01 1.299780654325532721e-03
-7.293553513867096605e+00 9.648467481343717678e-01 1.013708678164267031e-03
-7.293553487277798730e+00 9.654229561396024950e-01 1.013679136533554180e-03
-7.293553486805223862e+00 9.749817755619950566e-01 1.013737122701659178e-03
-7.293553486275576425e+00 9.552918554998094391e-01 1.013580762022963429e-03
-7.293178160994613357e+00 8.983999344945560184e-01 1.290829153770065105e-03
-7.293040245587753212e+00 9.446749815294239738e-01 1.012955140671382157e-03
-7.293040245291355639e+00 9.526165459503183053e-01 1.013041544696965815e-03
-7.293040237141747539e+00 9.438731111860296785e-01 1.012943229587885685e-03
-7.293040228832279759e+00 9.503407033723839659e-01 1.013015599456257992e-03
-7.292482026922448846e+00 9.246817605811072927e-01 1.097263885527153789e-03
-7.292482026254105243e+00 9.086375939021802406e-01 1.097133647939199609e-03
-7.292482025003881319e+00 9.074031267854246741e-01 1.097111744848972220e-03
