# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless]
-7.300952570957398358e+00 9.569839834353688346e-01 1.255542848449982818e-01
-7.300952521744940249e+00 9.785574867778445984e-01 1.293764615660414896e-01
-7.300952498277530012e+00 9.390706192506313998e-01 1.235214044774667064e-01
-7.300952497821044496e+00 9.763206720934037852e-01 1.287506574438840590e-01
-7.300448124001458261e+00 9.396098162168902146e-01 1.229580460078725374e-01
-7.300448119330585683e+00 9.411604438517691129e-01 1.228438105875820779e-01
-7.300448110571154281e+00 9.238487738158194240e-01 1.199626084121394043e-01
-7.300448110325802986e+00 9.230924765138029953e-01 1.201747713862873351e-01
-7.299139014248746449e+00 1.013855396808163611e+00 1.347300935870417438e-01
-7.299139013509089224e+00 1.028290201194359765e+00 1.369968948350503979e-01
-7.299138968436462704e+00 1.012046952494488172e+00 1.341468503481531849e-01
-7.297624595068624487e+00 9.235351118670845905e-01 1.193018404535024918e-01
-7.297624594781302321e+00 9.248564575832720625e-01 1.197829442087272184e-01
-7.296347270624205628e+00 9.201259073392016319e-01 6.145367926620998872e-02
-7.296330920108491824e+00 9.802289726429953554e-01 6.550442842749776284e-02
-7.296225121374458666e+00 9.643887928198523474e-01 6.457179499067378092e-02
-7.296214027816646741e+00 9.569643778391860867e-01 6.399020410548809934e-02
-7.296170493619644759e+00 9.267467751925972941e-01 6.186131838095893648e-02
-7.295948071418357550e+00 9.703829228728382272e-01 6.501888314941059455e-02
-7.295855403792257832e+00 9.159394778592867548e-01 6.110815429513107022e-02
-7.295417119256160987e+00 8.993783751438291230e-01 5.997410882582931285e-02
-7.295417119064595113e+00 9.046233454304750676e-01 6.026970676617104949e-02
-7.294997112557683572e+00 1.031426810607675382e+00 1.381152780922455248e-01
-7.294996922679523266e+00 1.044104125447682163e+00 1.401676986835557470e-01
-7.294996920403803209e+00 1.026440426501515235e+00 1.384949005778713105e-01
-7.294955985590904746e+00 9.567374812689042329e-01 6.401639399489439386e-02
-7.294824028170344477e+00 8.958358727435323798e-01 5.971032238084134774e-02
-7.294270808560902708e+00 9.690025445056013043e-01 6.512970226933009754e-02
-7.294249237468072522e+00 9.818767083469571721e-01 6.593995769466970414e-02
-7.293553513867096605e+00 9.840094621290902399e-01 1.226459475600692878e-01
-7.293553487277798730e+00 9.847572270771806080e-01 1.231059375654675742e-01
-7.293553486805223862e+00 9.941838484279783561e-01 1.235436233640768572e-01
-7.293553486275576425e+00 9.739477094819826153e-01 1.206673132036641116e-01
-7.293178160994613357e+00 8.944693544181598899e-01 5.956959935422047325e-02
-7.293040245587753212e+00 9.629665211542611791e-01 1.189489285741304053e-01
-7.293040245291355639e+00 9.705880808294440332e-01 1.188133659618160337e-01
-7.293040237141747539e+00 9.618361241572581655e-01 1.180972307313071928e-01
-7.293040228832279759e+00 9.685843458992374755e-01 1.192839645092321349e-01
-7.292482026922448846e+00 9.310027266453548833e-01 1.193305850229223752e-01
-7.292482026254105243e+00 9.149754802768796935e-01 1.166612803049783403e-01
-7.292482025003881319e+00 9.136661988361247655e-01 1.168158783837406345e-01
-7.292481989093424488e+00 9.051790718210809272e-01 1.151107520780623034e-01
-7.292178372846628065e+00 8.938922042590515815e-01 5.950915256550113469e-02
-7.291779434306231877e+00 1.029689275819417160e+00 1.294925598723198346e-01
-7.291779388988422816e+00 1.041208004264886799e+00 1.317216033552545407e-01
-7.291779340187588332e+00 1.042441074889641994e+00 1.307062050013926002e-01
-7.291779292224488174e+00 1.040812234551774962e+00 1.312813232563859733e-01
-7.291759283911776635e+00 1.015965257127071419e+00 1.292917185469840968e-01
-7.291759234554231028e+00 1.019893594515612012e+00 1.305640233180191678e-01
-7.291759186429231043e+00 1.017702968244197148e+00 1.298966203172831069e-01
-7.291759139330700634e+00 1.025709047383243089e+00 1.301464341517171719e-01
-7.291301644905275658e+00 9.738908920164598415e-01 6.530185876622815466e-02
-7.291301644021940476e+00 9.711578071557342984e-01 6.516855036519152156e-02
-7.291007500328950286e+00 8.997245015068626728e-01 5.985848158025705579e-02
-7.290972911499538078e+00 8.961450877688318384e-01 5.963878065334982104e-02
-7.290234826866869078e+00 1.003486054016950568e+00 1.213649339350597045e-01
-7.290234826434704551e+00 9.891475782867439337e-01 1.199931574799596862e-01
-7.290234792036983436e+00 9.646836820766720999e-01 1.173799490696119524e-01
-7.290234791626583721e+00 9.439331968637681980e-01 1.152026225649681462e-01
-7.288605885023309305e+00 9.766963352776386609e-01 6.576072561514449688e-02
-7.288556032114787975e+00 1.053146104015897810e+00 1.424571163094013049e-01
