# heliocentricLat[deg] normalizedFlux[unitless]
-7.300952570493834060e+00 9.141500009668727111e-01
-7.300952547043265461e+00 8.879944982801249997e-01
-7.300952546586687575e+00 8.976024092939267618e-01
-7.300448124076848622e+00 8.774333979695322361e-01
-7.300448119500173583e+00 8.587310510152410536e-01
-7.300448114995737647e+00 8.661185647703959489e-01
-7.300448110495609377e+00 8.551374116006023041e-01
-7.299139101152411158e+00 9.832511876052928423e-01
-7.299139056920025403e+00 9.639696044881854720e-01
-7.299138969995513371e+00 9.742870492627128121e-01
-7.299138967595473204e+00 9.633028297424285347e-01
-7.297624625554999689e+00 8.492788232240398028e-01
-7.297624610169764381e+00 8.570239226066417304e-01
-7.297624594523604458e+00 8.525850064890462265e-01
-7.296330920184172619e+00 9.143310582703534362e-01
-7.296328416141008688e+00 9.338967640480999588e-01
-7.296219627428929044e+00 1.002689231137173120e+00
-7.296170493606253693e+00 9.237807586474685584e-01
-7.296163985481206815e+00 9.275124414463979949e-01
-7.295546166348792383e+00 9.846731764255775010e-01
-7.295532692864495239e+00 9.765419491269710095e-01
-7.294997114834817609e+00 1.007458218606105849e+00
-7.294996921604937512e+00 1.017142809376211154e+00
-7.294996919212120901e+00 9.954410813759700938e-01
-7.294973570256916062e+00 9.808914835190766235e-01
-7.294292268078609531e+00 9.865261978632028361e-01
-7.294109019497962976e+00 9.128799772454662120e-01
-7.294086580796133923e+00 9.192708355552620114e-01
-7.294064034115450568e+00 9.146797632641809894e-01
-7.293553514926977677e+00 9.110006292635033365e-01
-7.293553485747007237e+00 9.501043399850273019e-01
-7.293553430952019134e+00 9.144932758593513622e-01
-7.293231164345962192e+00 9.145727279025067658e-01
-7.293040237281488203e+00 9.028009185995913288e-01
-7.293040236829496870e+00 8.532747934384972144e-01
-7.293040220517947425e+00 8.721198394444330537e-01
-7.293040220211045366e+00 8.811605218706880516e-01
-7.292482061476182942e+00 8.255942855296731775e-01
-7.292482060807033761e+00 8.327788893808705240e-01
-7.292482025593761463e+00 8.436423076081012162e-01
-7.292464172682067591e+00 1.011926160535607133e+00
-7.292405205374834942e+00 9.898722565274857832e-01
-7.292208828245928309e+00 9.217567539136923838e-01
-7.291779436112689972e+00 1.007836860184373240e+00
-7.291779435208541216e+00 1.000184022458268540e+00
-7.291779388179106647e+00 1.003559202233908598e+00
-7.291779340991564773e+00 9.981021227196938961e-01
-7.291759189048161893e+00 1.006052979708502271e+00
-7.291759187330430159e+00 9.909331079123585573e-01
-7.291759141041828762e+00 9.925503477863456547e-01
-7.291759140235853920e+00 9.976288382890498019e-01
-7.291268137338729360e+00 9.989634299389124061e-01
-7.291007500965784871e+00 9.194492456961860238e-01
-7.290234815337483631e+00 8.669337011134102822e-01
-7.290234815120089529e+00 8.972408543331039654e-01
-7.290234803578139910e+00 8.820458780300094448e-01
-7.290234803361832938e+00 8.845671874996998696e-01
-7.290025331049283963e+00 1.007278887878149343e+00
-7.289730537133690014e+00 9.093659380381157176e-01
-7.288647241842820534e+00 9.933366892489439159e-01
-7.288605886079790430e+00 9.761925427944629918e-01
-7.288556114597527724e+00 1.034712309486932824e+00
-7.288556027543493521e+00 1.015994131808833245e+00
-7.288555948345320168e+00 1.025547440310257796e+00
-7.288555863141006341e+00 1.011274578883885944e+00
-7.287678410219952774e+00 1.014774000876978999e+00
-7.287678409080755593e+00 1.012593602927567060e+00
-7.287678338566821346e+00 1.011925620930479663e+00
-7.287678202738560707e+00 1.019518425683207941e+00
-7.287119799984457913e+00 9.383083146522098739e-01
-7.287028222380829590e+00 9.375996677763672738e-01
-7.287023463876966645e+00 9.340337029313472428e-01
-7.286997991159895882e+00 9.688183300243121687e-01
-7.286787352847565735e+00 9.363705323155074867e-01
-7.286550634451457675e+00 9.911386404428969010e-01
