# heliocentricLat[deg] normalizedFlux[unitless]
-7.300952570493832283e+00 9.798576488829123798e-01
-7.300952547043264573e+00 8.911672957733282052e-01
-7.300952546586685799e+00 9.006857205681400025e-01
-7.300448124076846845e+00 8.806289920618201039e-01
-7.300448119500171806e+00 8.619770427191304485e-01
-7.300448114995731430e+00 8.693326919978774381e-01
-7.300448110495604936e+00 8.584287996377663044e-01
-7.299139101152411158e+00 1.017628207412280217e+00
-7.299139056920021851e+00 9.978781302679589071e-01
-7.299138969995511594e+00 1.008419915595202276e+00
-7.299138967595471428e+00 9.971193732499816775e-01
-7.297624625554999689e+00 8.526648349995022969e-01
-7.297624610169762605e+00 8.605591673356166593e-01
-7.297624594523600905e+00 8.560430706011894486e-01
-7.296330920184169955e+00 9.069535215322244159e-01
-7.296328416141006912e+00 9.754772388021387686e-01
-7.296219627428930821e+00 1.012160873515787429e+00
-7.296170493606253693e+00 9.162487163945480795e-01
-7.296163985481206815e+00 9.198714113275985316e-01
-7.295546166348792383e+00 9.938050943402618742e-01
-7.295532692864492574e+00 9.858507544175665327e-01
-7.294997114834817609e+00 1.042538342200763024e+00
-7.294996921604937512e+00 1.052415709865039295e+00
-7.294996919212120901e+00 1.030173538637093378e+00
-7.294973570256915174e+00 9.900727020232620301e-01
-7.294292268078608643e+00 9.955053014066682637e-01
-7.294109019497968305e+00 9.058235971213439708e-01
-7.294086580796127706e+00 9.120871359024004255e-01
-7.294064034115447903e+00 9.074544200385340487e-01
-7.293553514926975012e+00 9.252055433205260693e-01
-7.293553485747002796e+00 9.652331057840790596e-01
-7.293553430952015582e+00 9.289039284904430094e-01
-7.293231164345962192e+00 9.072707338694235846e-01
-7.293040237281486426e+00 9.161321483728959159e-01
-7.293040236829497758e+00 8.661565131138662110e-01
-7.293040220517945649e+00 8.854300434796902319e-01
-7.293040220211044478e+00 8.943177301799900558e-01
-7.292482061476176725e+00 8.292285425701096946e-01
-7.292482060807029320e+00 8.363873421740989356e-01
-7.292482025593761463e+00 8.471806033340799624e-01
-7.292464172682065815e+00 1.020961682948487548e+00
-7.292405205374834942e+00 9.989670640228734966e-01
-7.292208828245927421e+00 9.148662274847456644e-01
-7.291779436112694412e+00 1.026649138311265697e+00
-7.291779435208541216e+00 1.019019448063501976e+00
-7.291779388179106647e+00 1.022125232273124240e+00
-7.291779340991564773e+00 1.017063845664806898e+00
-7.291759189048161893e+00 1.025834962764022418e+00
-7.291759187330428382e+00 1.010087292668783165e+00
-7.291759141041828762e+00 1.011571340112475959e+00
-7.291759140235846814e+00 1.017078208253429095e+00
-7.291268137338724920e+00 1.007969718720046481e+00
-7.291007500965781318e+00 9.124981106655836172e-01
-7.290234815337483631e+00 8.795922407037517488e-01
-7.290234815120093970e+00 9.098983050111787430e-01
-7.290234803578139910e+00 8.946341955225222131e-01
-7.290234803361832050e+00 8.973373331807595887e-01
-7.290025331049285739e+00 1.016186220757128833e+00
-7.289730537133686461e+00 9.024136969206959513e-01
-7.288647241842819646e+00 1.002035247625646441e+00
-7.288605886079789542e+00 9.846569642831022318e-01
-7.288556114597525060e+00 1.070300652479645676e+00
-7.288556027543488192e+00 1.051082890777230494e+00
-7.288555948345314839e+00 1.061038909978537115e+00
-7.288555863141008118e+00 1.046128613217055525e+00
-7.287678410219957215e+00 1.034895936224319968e+00
-7.287678409080753816e+00 1.033177823062825684e+00
-7.287678338566826675e+00 1.032327768668345191e+00
-7.287678202738560707e+00 1.039903992256477228e+00
-7.287119799984456137e+00 9.474136775349654149e-01
-7.287028222380829590e+00 9.465460443312692096e-01
-7.287023463876966645e+00 9.430285734669205944e-01
-7.286997991159894106e+00 9.771354591204370887e-01
-7.286787352847562182e+00 9.451246546355804856e-01
-7.286550634451457675e+00 9.377489183409245532e-01
-7.286102520041692898e+00 9.451595928709207728e-01
-7.285450392127143182e+00 9.443769640069055171e-01
-7.285228885648772135e+00 9.536613518068232098e-01
-7.285197915800583068e+00 1.014459561723294989e+00
-7.285139235740932584e+00 9.453400540539752539e-01
-7.285139203754573245e+00 9.178698329681063139e-01
-7.285139142092051046e+00 9.097076551064509076e-01
-7.285139140388375623e+00 9.544350232117484456e-01
-7.285021070929681208e+00 8.289666280115672858e-01
-7.285021068967129310e+00 7.832570319376239709e-01
-7.285021014737054657e+00 8.104530696222020936e-01
-7.285020960608536100e+00 7.759034503134443206e-01
