# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.300952523070507461e+00 9.294012616215436839e-01 1.219802301037489906e-01 2.453436554876999930e+06
-7.300952497358709437e+00 9.342203848535953759e-01 1.229277777184966669e-01 2.453436804895000067e+06
-7.300448119415921866e+00 9.200554567244135784e-01 1.204439206134100687e-01 2.453436304831999820e+06
-7.300448114911540998e+00 9.106821829921576406e-01 1.189107591347906834e-01 2.453436054882000200e+06
-7.300448114826290968e+00 9.010451486788318975e-01 1.170468217433986435e-01 2.453435554899000097e+06
-7.299139102723343875e+00 9.935686419796725399e-01 1.324171643674504351e-01 2.453438054802999832e+06
-7.299139101981459099e+00 9.786595628928574930e-01 1.297677700568245773e-01 2.453437554837000091e+06
-7.299139057747853876e+00 9.977017036974255015e-01 1.333063532354856751e-01 2.453438304812999908e+06
-7.299139056079609666e+00 9.835567352338553393e-01 1.307500869588740233e-01 2.453437804887999780e+06
-7.297624625296908363e+00 8.909979639372742621e-01 1.154433186902941860e-01 2.453435305137000047e+06
-7.297624610457308592e+00 8.926546429358607204e-01 1.147598728462631973e-01 2.453434555124999955e+06
-7.297624609912237936e+00 8.907939347075325420e-01 1.151179464260286833e-01 2.453435055168000050e+06
-7.297624579977592063e+00 8.919499843960179142e-01 1.149681045840662968e-01 2.453434805112000089e+06
-7.296347270789316219e+00 9.587278873087478059e-01 6.411870976779361631e-02 2.454531054283999838e+06
-7.296345672090676082e+00 9.925177325552843044e-01 6.641651499906758849e-02 2.454531303613999858e+06
-7.296219627174727940e+00 1.004403504804354030e+00 6.733962297923673512e-02 2.454532053536999971e+06
-7.295957560950874665e+00 1.006489640001890784e+00 6.752665049363956729e-02 2.454532303129000124e+06
-7.295938478738595023e+00 1.002657771677868404e+00 6.717750324822377439e-02 2.454531803559000138e+06
-7.295865923485292726e+00 9.617779036625426770e-01 6.428635342133698360e-02 2.454530804264000151e+06
-7.295532693297448468e+00 1.011802720026524272e+00 6.774461682742975721e-02 2.454531553594000172e+06
-7.294997111343133334e+00 1.040774623182825209e+00 1.404741217062575875e-01 2.453439304374999832e+06
-7.294996985702588255e+00 1.004184964825485027e+00 1.345132340180762442e-01 2.453438554756999947e+06
-7.294842454601937476e+00 9.533783682124025161e-01 6.366182585647689463e-02 2.454530304243000224e+06
-7.294824028451157183e+00 9.556099524367044351e-01 6.375322414906262058e-02 2.454529804299999960e+06
-7.294805494479361663e+00 9.549194865076091610e-01 6.373487029891156119e-02 2.454530054264000151e+06
-7.294086580426847100e+00 9.461385352789857262e-01 6.309797127881033862e-02 2.454529554308999795e+06
-7.293553458635008369e+00 9.801629763803707540e-01 1.221944159601529439e-01 2.453071304351000115e+06
-7.293553458106397436e+00 9.512576487912984824e-01 1.175367843951789781e-01 2.453070554702000227e+06
-7.293553429439748825e+00 9.876642318241156682e-01 1.227641164025061321e-01 2.453071054827000014e+06
-7.293424502779059182e+00 1.007692479883096182e+00 6.765678923710996551e-02 2.454532553299000021e+06
-7.293398937058599429e+00 9.974162828190007435e-01 6.712900912019639788e-02 2.454533304721000139e+06
-7.293040245138595168e+00 9.455601022896075181e-01 1.164842553383153845e-01 2.453070304378000088e+06
-7.293040228971627847e+00 9.384535629023673664e-01 1.152641219525607080e-01 2.453070054475000128e+06
-7.293040228676385794e+00 9.391942804322626071e-01 1.150101052376511779e-01 2.453069804469000082e+06
-7.293040228520542456e+00 9.406013854504928773e-01 1.148372526466980154e-01 2.453069554326999933e+06
-7.292481989760704941e+00 8.902470558051510663e-01 1.135541890766647299e-01 2.453433802178000100e+06
-7.292481955286842954e+00 8.892345121531504137e-01 1.140228591341865272e-01 2.453434305128999986e+06
-7.292481954036555969e+00 8.965945474120150527e-01 1.140647496971025771e-01 2.453433552614999935e+06
-7.292434739468955485e+00 1.010823772652384323e+00 6.797234477950080123e-02 2.454533053259000182e+06
-7.292147800068299546e+00 9.437106149940548416e-01 6.291349126074059772e-02 2.454529304694999941e+06
-7.291779436918896629e+00 9.814665199362544445e-01 1.227210604349813911e-01 2.453071554483000189e+06
-7.291779338386634279e+00 1.003524399083498553e+00 1.265974117841432989e-01 2.453072304109000135e+06
-7.291779291319192779e+00 9.847143688538514406e-01 1.238590131452371595e-01 2.453072054401000030e+06
-7.291779290416193327e+00 9.875983551421353424e-01 1.238540782000217555e-01 2.453071804343999829e+06
-7.291759284814079756e+00 9.982126367729062810e-01 1.270458372932667668e-01 2.453073053365999833e+06
-7.291759283006815195e+00 9.948072742222747733e-01 1.258692757103845317e-01 2.453072553975000046e+06
-7.291759236359114382e+00 9.909368534859597233e-01 1.257492753504157179e-01 2.453072803367999848e+06
-7.291335055068223880e+00 1.008529505058384457e+00 6.776465231457982907e-02 2.454532803282999899e+06
-7.291041975904584582e+00 9.510912221528118327e-01 6.338236304420606648e-02 2.454529053948999848e+06
-7.290234826650565658e+00 9.306022043498973773e-01 1.132764640577482301e-01 2.453069304347000085e+06
-7.290234826240280519e+00 9.333938899504099496e-01 1.132751289101649184e-01 2.453069054423000198e+06
-7.290234814904624550e+00 9.327289000835292665e-01 1.125150843626995245e-01 2.453068554808999877e+06
-7.290234803168333499e+00 9.326210966762132903e-01 1.128412639870788742e-01 2.453068804481999949e+06
-7.290062709885405390e+00 1.001315095937800326e+00 6.763267482323372104e-02 2.454534304661000147e+06
-7.289692048219790443e+00 9.526720856599414367e-01 6.346783592838203814e-02 2.454528804366999771e+06
-7.288564401577332319e+00 9.955804379320162267e-01 6.718332453507140645e-02 2.454534054659000132e+06
-7.288556111432274776e+00 1.078568573786356399e+00 1.466758995571640356e-01 2.453440053764999844e+06
-7.288555943780711921e+00 1.059068023103278744e+00 1.436640451917456651e-01 2.453439804140999913e+06
-7.287678341118968284e+00 1.020797919465488590e+00 1.306871214893622624e-01 2.453073554667999968e+06
-7.287678270626275712e+00 1.026512981661660717e+00 1.325784575318722514e-01 2.453074304814000148e+06
-7.287678206383167989e+00 1.031433265948304090e+00 1.324359740579441336e-01 2.453073804641999770e+06
-7.287678204016052597e+00 1.023629900660041114e+00 1.318200012228470386e-01 2.453074054694999941e+06
-7.287121140667813357e+00 9.829835720799148246e-01 7.071688052127911295e-02 2.454895554084000178e+06
-7.286787353125455446e+00 9.963177904072780811e-01 7.223270012955476660e-02 2.454896553224000148e+06
-7.286778626948362536e+00 9.937400494404171614e-01 7.218897190946352294e-02 2.454896802298999857e+06
-7.286561885927201665e+00 9.934245047854850519e-01 7.190531392462032323e-02 2.454896344959000126e+06
-7.286416276187712704e+00 9.936346595708438478e-01 7.232636095224495576e-02 2.454897052525999956e+06
-7.286087407772080304e+00 9.829935649829939504e-01 7.021534725061734372e-02 2.454894595652000047e+06
-7.285387385271065774e+00 1.004151237089754289e+00 6.769828960495331838e-02 2.454533804663000163e+06
-7.285288672900790630e+00 1.007117938499301424e+00 6.783786065590681480e-02 2.454533554676999804e+06
-7.285199085850673661e+00 1.033132212562916541e+00 6.937132354504722820e-02 2.459646054723000154e+06
-7.285196636319285268e+00 1.029426276912086324e+00 6.905016097313318446e-02 2.459645554562000092e+06
-7.285139204932811197e+00 9.354395925162609648e-01 1.121623107378867668e-01 2.453068054756000172e+06
-7.285139204343521691e+00 9.332638139660620613e-01 1.122405752594933664e-01 2.453068305009999778e+06
-7.285139203228754745e+00 9.399589157798139416e-01 1.120235318867228852e-01 2.453067554754999932e+06
-7.285139140914064448e+00 9.388475714376797177e-01 1.122305814949148967e-01 2.453067804717000108e+06
-7.285021127139860830e+00 8.951875255713952484e-01 1.129918259501639932e-01 2.453432802658000030e+06
-7.285021069893947043e+00 8.836586657814368140e-01 1.112439179773265646e-01 2.453432552585999947e+06
-7.285000746609477495e+00 9.739442270811127234e-01 6.546528498440375154e-02 2.459646555190000217e+06
-7.284845229893853968e+00 9.826898462449772387e-01 7.056230632138271730e-02 2.454895303578999825e+06
-7.284542069950739496e+00 9.875557523747694466e-01 7.230281425806533990e-02 2.454897762786000036e+06
-7.284247838607635472e+00 9.658949213634769881e-01 6.499660511982953415e-02 2.459647055294000078e+06
-7.283990882014102830e+00 9.862397277031055287e-01 7.057573374578879344e-02 2.454894845594999846e+06
-7.283862862051540432e+00 1.026717015629871721e+00 6.872271619014436173e-02 2.459644554810000118e+06
-7.283543241080756125e+00 1.005658079941483596e+00 6.805861063472010142e-02 2.454534804368999787e+06
-7.283489979364282441e+00 9.939687424668545157e-01 6.733875866991630155e-02 2.454535054392000195e+06
-7.283471541678938621e+00 9.835375864516490152e-01 7.233520734581246059e-02 2.454898304293999914e+06
-7.283436603549762189e+00 1.005496186337549336e+00 6.798004139632010667e-02 2.454534554754999932e+06
-7.282918078412272678e+00 9.688622200773799875e-01 6.526528376995333058e-02 2.459647554878999945e+06
